TOSETTI,LW,63,78 ,49 ,60 ,67 ,32 ,54 
FERREIRA,LM,66,72 ,66 ,64 ,64 ,46 ,63 
HEDIGER,CM,66,74 ,55 ,64 ,62 ,50 ,86 
SCHIRINZI,LM,62,69 ,61 ,61 ,62 ,56 ,73 
ZINO,CDM,60,58 ,39 ,54 ,58 ,56 ,60 
PEYRETTI,CAM,56,63 ,56 ,51 ,59 ,31 ,51 
MARKOVIĆ,LM,55,72 ,54 ,51 ,51 ,27 ,52 
SCHINDELHOLZ,CB,65,48 ,42 ,48 ,49 ,68 ,70 
FACCHINETTI,LB,64,67 ,44 ,54 ,55 ,62 ,63 
REINMANN,CB,62,52 ,49 ,60 ,61 ,61 ,64 
GLARNER,RB,62,65 ,52 ,57 ,59 ,59 ,68 
BÜRKI,CB,59,57 ,25 ,40 ,38 ,59 ,69 
BIGLER,RB,58,67 ,39 ,51 ,56 ,52 ,70 
BÜRGY,CB,53,54 ,28 ,29 ,35 ,54 ,55 
FAIVRE,GK,67,66 ,71 ,62 ,68 ,31 ,68 
RUBERTO,GK,62,63 ,64 ,59 ,63 ,44 ,58 
