DABBUR,ST,75,80 ,70 ,64 ,79 ,34 ,66 
ANDERSEN,LW,72,77 ,61 ,71 ,81 ,36 ,45 
MUNSY,ST,66,79 ,63 ,46 ,62 ,34 ,74 
TABAKOVIC,ST,60,66 ,56 ,41 ,58 ,21 ,70 
HUNZIKER,ST,53,52 ,53 ,36 ,48 ,21 ,56 
CAIO,LM,81,78 ,82 ,78 ,80 ,34 ,75 
KÄLLSTRÖM,CDM,75,52 ,75 ,83 ,73 ,64 ,78 
CAIO,LM,75,76 ,76 ,74 ,75 ,30 ,70 
SIGURJÓNSSON,CDM,72,68 ,70 ,70 ,70 ,60 ,84 
SIGURJÓNSSON,CM,68,66 ,65 ,62 ,65 ,53 ,81 
BAŠIĆ,CDM,68,70 ,39 ,61 ,60 ,67 ,73 
OLSEN,CM,63,65 ,43 ,62 ,66 ,33 ,63 
BRAHIMI,CAM,62,78 ,50 ,53 ,65 ,44 ,55 
GJORGJEV,RM,62,82 ,53 ,53 ,66 ,28 ,48 
GJORGJEV,RM,62,82 ,53 ,53 ,66 ,28 ,48 
LAVANCHY,RM,61,73 ,58 ,52 ,64 ,51 ,54 
KAREEM,CAM,60,83 ,57 ,45 ,69 ,21 ,47 
ALPSOY,CDM,57,71 ,40 ,51 ,51 ,53 ,70 
VILOTIĆ,CB,72,64 ,48 ,49 ,56 ,74 ,75 
BERGSTRÖM,CB,70,65 ,29 ,40 ,43 ,69 ,78 
BARTHE,CB,65,67 ,34 ,50 ,43 ,63 ,68 
PNISHI,CB,64,69 ,32 ,41 ,53 ,64 ,70 
ANTONOV,LB,64,81 ,29 ,50 ,58 ,62 ,67 
LÜTHI,LB,63,74 ,54 ,59 ,58 ,60 ,60 
RHYNER,CB,62,73 ,26 ,41 ,32 ,60 ,71 
BAMERT,CB,57,62 ,26 ,40 ,50 ,59 ,55 
MALL,GK,67,67 ,63 ,61 ,74 ,43 ,62 
VASIC,GK,65,68 ,51 ,67 ,70 ,41 ,66 
