O'SULLIVAN,ST,64,78 ,61 ,50 ,56 ,40 ,70 
SHEPPARD,RW,64,88 ,61 ,70 ,67 ,20 ,74 
MAGUIRE,ST,62,83 ,58 ,46 ,60 ,17 ,60 
SHEPPARD,LW,61,87 ,56 ,52 ,60 ,18 ,70 
BEATTIE,RW,60,76 ,58 ,53 ,61 ,49 ,64 
CAMPION,ST,58,68 ,56 ,39 ,53 ,25 ,63 
MORRISSEY,ST,58,73 ,57 ,39 ,57 ,21 ,47 
DOOLEY,LW,57,65 ,55 ,56 ,60 ,39 ,44 
BOLGER,CM,62,54 ,57 ,61 ,57 ,58 ,74 
HEALY,CM,61,44 ,55 ,59 ,57 ,58 ,64 
MCCORMACK,CM,59,73 ,57 ,57 ,57 ,58 ,54 
MORRISSEY,CM,59,56 ,52 ,58 ,56 ,51 ,60 
BUCKLEY,CM,59,54 ,56 ,56 ,57 ,53 ,64 
HOLOHAN,CM,58,68 ,53 ,57 ,60 ,54 ,55 
KEOHANE,CAM,58,65 ,49 ,52 ,63 ,26 ,55 
MULCAHY,CDM,56,32 ,48 ,54 ,50 ,56 ,52 
TURNER,RM,56,63 ,50 ,55 ,55 ,51 ,64 
DONNELLAN,CM,47,66 ,41 ,43 ,47 ,40 ,51 
BROWNE,CB,62,34 ,24 ,40 ,40 ,61 ,68 
DUNLEAVY,RB,62,54 ,39 ,56 ,53 ,61 ,63 
BENNETT,CB,62,32 ,27 ,33 ,29 ,61 ,73 
O'CONNOR,LB,57,58 ,37 ,51 ,56 ,53 ,57 
MCSWEENEY,RB,56,65 ,34 ,45 ,52 ,56 ,56 
KAVANAGH,RB,55,61 ,44 ,49 ,48 ,54 ,54 
DELANEY,LB,53,59 ,24 ,35 ,48 ,54 ,68 
MCNULTY,GK,62,65 ,60 ,57 ,61 ,37 ,62 
CONNOR,GK,49,49 ,51 ,53 ,52 ,30 ,41 
SMITH,GK,47,52 ,44 ,43 ,47 ,49 ,39 
