ROBERTS,ST,58,82 ,52 ,58 ,62 ,20 ,69 
CAMPION,ST,58,68 ,56 ,39 ,53 ,25 ,63 
STEVENS,ST,55,60 ,53 ,41 ,50 ,18 ,59 
MARTIN,ST,55,64 ,54 ,45 ,58 ,22 ,46 
KEARNS,RM,64,78 ,55 ,60 ,63 ,21 ,59 
CRETARO,RM,62,84 ,57 ,55 ,64 ,30 ,48 
RODDAN,CDM,59,69 ,40 ,55 ,52 ,51 ,58 
RUSSELL,CM,59,54 ,57 ,58 ,60 ,54 ,61 
KEOHANE,CAM,58,65 ,49 ,52 ,63 ,26 ,55 
SADLIER,CAM,56,67 ,53 ,51 ,58 ,20 ,51 
KENNY,CM,53,63 ,51 ,53 ,56 ,44 ,48 
HUNT,LM,51,66 ,46 ,47 ,52 ,24 ,41 
MCCANN,CDM,49,57 ,34 ,48 ,46 ,43 ,52 
PLACE,CAM,49,61 ,36 ,52 ,48 ,38 ,50 
DOYLE,CM,48,60 ,34 ,46 ,48 ,38 ,55 
ARMSTRONG,CM,47,68 ,39 ,44 ,46 ,42 ,46 
PEERS,CB,62,38 ,40 ,43 ,44 ,59 ,69 
LEAHY,CB,57,32 ,22 ,34 ,26 ,54 ,70 
BOYLAN,CB,53,58 ,29 ,32 ,39 ,54 ,59 
DONELON,LB,52,57 ,24 ,43 ,42 ,51 ,56 
ADEBAYO-ROWLING,RB,51,59 ,29 ,34 ,48 ,52 ,55 
CONNOLLY,CB,49,56 ,27 ,29 ,32 ,48 ,57 
SCHLINGERMANN,GK,63,63 ,61 ,59 ,64 ,46 ,61 
PATTON,GK,52,54 ,49 ,48 ,49 ,48 ,49 
NUGENT,GK,50,53 ,53 ,52 ,49 ,17 ,49 
