OJAMAA,RW,67,87 ,67 ,56 ,71 ,20 ,74 
LOY,ST,64,79 ,59 ,51 ,62 ,26 ,68 
TEIJSSE,ST,63,80 ,59 ,48 ,59 ,18 ,78 
WIGHTON,ST,58,71 ,56 ,54 ,60 ,18 ,46 
BAKHTAOUI,ST,54,55 ,60 ,38 ,48 ,19 ,46 
MCGOWAN,CAM,68,73 ,62 ,65 ,71 ,41 ,61 
ROSS,CM,64,68 ,55 ,61 ,68 ,58 ,73 
VINCENT,CAM,64,64 ,53 ,58 ,66 ,40 ,70 
WILLIAMS,LM,63,70 ,56 ,61 ,63 ,44 ,56 
LOW,CM,62,70 ,48 ,60 ,66 ,55 ,53 
DUFFY,LM,61,70 ,60 ,57 ,60 ,48 ,56 
O'HARA,CAM,60,69 ,48 ,57 ,61 ,50 ,67 
COLQUHOUN,CM,54,67 ,41 ,52 ,49 ,44 ,58 
CURRAN,CDM,51,71 ,42 ,44 ,57 ,44 ,62 
O'DEA,CB,69,54 ,26 ,51 ,58 ,69 ,69 
GOMIS,CB,66,54 ,25 ,44 ,44 ,65 ,72 
MCPAKE,CB,64,53 ,44 ,50 ,50 ,59 ,69 
HOLT,LB,61,64 ,33 ,45 ,56 ,58 ,63 
ETXABEGUREN,CB,60,57 ,25 ,30 ,36 ,61 ,65 
KERR,RB,58,71 ,28 ,42 ,53 ,56 ,58 
GADZHALOV,CB,58,62 ,32 ,33 ,39 ,59 ,64 
ALLAN,CB,54,60 ,28 ,30 ,32 ,57 ,55 
DRYDEN,RB,53,62 ,29 ,35 ,48 ,52 ,56 
BAIN,GK,65,68 ,65 ,58 ,67 ,41 ,62 
MITCHELL,GK,55,62 ,51 ,55 ,54 ,49 ,54 
GOURLAY,GK,48,47 ,42 ,52 ,46 ,46 ,47 
