WATT,ST,70,81 ,70 ,46 ,71 ,24 ,71 
SAMMON,ST,67,75 ,65 ,51 ,59 ,40 ,82 
MOHA,LW,64,90 ,57 ,55 ,68 ,27 ,46 
MUIRHEAD,ST,63,62 ,65 ,45 ,61 ,23 ,62 
TZIOLIS,CDM,73,53 ,64 ,68 ,60 ,70 ,76 
KITCHEN,CDM,71,66 ,58 ,59 ,61 ,71 ,77 
MARTIN,CM,69,54 ,64 ,70 ,61 ,63 ,72 
WALKER,LM,69,82 ,58 ,63 ,71 ,40 ,59 
COWIE,CM,67,64 ,63 ,65 ,66 ,63 ,73 
SUTCHUIN-DJOUM,CM,67,72 ,59 ,63 ,67 ,63 ,69 
NICHOLSON,LM,66,88 ,55 ,57 ,72 ,31 ,55 
BUABEN,CM,63,71 ,58 ,60 ,65 ,58 ,71 
HUGHES,CB,70,23 ,35 ,52 ,51 ,72 ,69 
PATERSON,RB,68,82 ,59 ,58 ,62 ,64 ,90 
RHERRAS,LB,67,82 ,61 ,57 ,66 ,64 ,71 
ROSSI,CB,66,51 ,29 ,52 ,54 ,66 ,66 
SOUTTAR,CB,65,74 ,25 ,52 ,66 ,64 ,68 
NOWAK,CB,63,61 ,45 ,56 ,52 ,60 ,70 
OSHANIWA,LB,60,89 ,31 ,47 ,54 ,54 ,72 
HAMILTON,GK,62,64 ,60 ,61 ,60 ,46 ,65 
GALLACHER,GK,60,56 ,64 ,53 ,58 ,29 ,58 
NORING,GK,58,58 ,59 ,53 ,58 ,30 ,56 
