MCKAY,ST,68,73 ,66 ,55 ,68 ,34 ,68 
ANIER,ST,62,79 ,63 ,42 ,60 ,23 ,60 
FISHER,ST,60,75 ,57 ,42 ,59 ,23 ,64 
BODEN,ST,59,79 ,56 ,49 ,61 ,34 ,62 
TANSEY,CDM,68,66 ,68 ,69 ,64 ,62 ,78 
VIGURS,LM,67,66 ,60 ,68 ,68 ,51 ,69 
DORAN,RM,66,75 ,59 ,65 ,69 ,33 ,67 
DRAPER,CDM,66,62 ,55 ,59 ,62 ,63 ,82 
COLE,RM,65,85 ,54 ,55 ,71 ,32 ,56 
KING,RM,64,80 ,52 ,58 ,64 ,28 ,57 
POLWORTH,RM,61,68 ,51 ,57 ,65 ,46 ,54 
MULRANEY,LM,56,80 ,48 ,51 ,58 ,27 ,37 
MCNAUGHTON,RB,70,70 ,51 ,61 ,63 ,70 ,68 
MEEKINGS,CB,67,75 ,32 ,39 ,50 ,66 ,76 
WARREN,CB,67,51 ,37 ,42 ,54 ,66 ,70 
RAVEN,RB,66,69 ,30 ,55 ,62 ,64 ,74 
LAING,CB,65,71 ,33 ,46 ,45 ,64 ,74 
TREMARCO,LB,62,55 ,31 ,56 ,56 ,63 ,66 
MCKAY,CB,62,69 ,27 ,36 ,47 ,61 ,70 
HORNER,RB,55,62 ,49 ,56 ,58 ,48 ,62 
WILLIAMS,GK,65,62 ,61 ,56 ,69 ,55 ,64 
ESSON,GK,58,54 ,58 ,55 ,56 ,31 ,59 
