BOYD,ST,69,49 ,72 ,57 ,60 ,22 ,72 
SAMMON,ST,67,75 ,65 ,51 ,59 ,40 ,82 
COULIBALY,ST,65,73 ,65 ,46 ,67 ,19 ,64 
BOJAJ,ST,55,56 ,54 ,41 ,56 ,18 ,54 
WHITTAKER,ST,54,66 ,53 ,44 ,60 ,23 ,53 
MCKENZIE,RM,67,83 ,53 ,59 ,71 ,26 ,62 
AJER,CM,66,69 ,64 ,62 ,63 ,60 ,76 
KILTIE,LM,64,67 ,53 ,60 ,66 ,48 ,61 
DICKER,CDM,63,63 ,45 ,64 ,60 ,52 ,70 
GREEN,CAM,61,66 ,49 ,60 ,64 ,35 ,66 
MCFADZEAN,LM,60,79 ,44 ,50 ,64 ,31 ,53 
ADAMS,CM,59,66 ,51 ,52 ,58 ,52 ,68 
SMITH,CM,59,65 ,56 ,60 ,61 ,53 ,59 
FRIZZELL,CAM,55,65 ,42 ,53 ,59 ,36 ,46 
JONES,CAM,55,62 ,47 ,46 ,65 ,34 ,35 
WADDINGTON,CM,54,66 ,46 ,59 ,53 ,40 ,48 
TAYLOR,CM,54,65 ,46 ,53 ,59 ,41 ,53 
WILSON,CM,52,66 ,38 ,50 ,51 ,43 ,56 
ADDISON,CB,66,48 ,32 ,48 ,42 ,63 ,81 
OSBORNE,CB,65,68 ,34 ,47 ,51 ,62 ,76 
SMITH,LB,65,63 ,58 ,63 ,62 ,64 ,68 
BOYD,CB,62,57 ,41 ,52 ,48 ,62 ,67 
BURN,CB,59,59 ,26 ,41 ,52 ,60 ,61 
HAWKSHAW,RB,58,64 ,26 ,46 ,57 ,55 ,57 
BOYLE,CB,57,58 ,27 ,31 ,33 ,58 ,63 
COBAIN,RB,56,61 ,33 ,37 ,51 ,57 ,57 
HENDRIE,RB,56,69 ,34 ,50 ,54 ,52 ,58 
LIDINGTON,LB,55,68 ,43 ,53 ,50 ,52 ,45 
WEBB,CB,51,58 ,27 ,26 ,30 ,50 ,57 
MACDONALD,GK,68,72 ,62 ,63 ,74 ,22 ,66 
WOODMAN,GK,61,61 ,58 ,57 ,60 ,42 ,60 
DAVIES,GK,59,59 ,52 ,57 ,66 ,44 ,57 
MACKAY,GK,48,47 ,49 ,48 ,48 ,42 ,46 
