MOULT,ST,71,77 ,70 ,48 ,62 ,42 ,75 
MCDONALD,ST,69,69 ,65 ,63 ,70 ,42 ,69 
MCFADDEN,ST,66,60 ,65 ,67 ,68 ,35 ,65 
MOULT,ST,65,75 ,62 ,44 ,56 ,39 ,72 
BLYTH,ST,58,47 ,61 ,39 ,47 ,27 ,70 
AINSWORTH,RM,69,91 ,61 ,63 ,70 ,22 ,45 
LASLEY,CM,67,53 ,49 ,66 ,65 ,63 ,74 
MCHUGH,CDM,65,66 ,41 ,59 ,58 ,63 ,77 
CADDEN,RM,62,74 ,48 ,59 ,62 ,47 ,58 
THOMAS,CM,56,67 ,48 ,56 ,59 ,48 ,50 
MCMANUS,CB,67,43 ,37 ,44 ,46 ,63 ,78 
HAMMELL,LB,65,63 ,40 ,60 ,63 ,62 ,70 
LAING,CB,65,71 ,33 ,46 ,45 ,64 ,74 
HENEGHAN,CB,60,53 ,24 ,36 ,35 ,58 ,63 
TAIT,RB,57,71 ,39 ,46 ,57 ,52 ,60 
CHALMERS,LB,55,48 ,36 ,43 ,44 ,59 ,68 
KENNEDY,CB,55,53 ,23 ,32 ,39 ,55 ,62 
JULES,CB,54,54 ,24 ,34 ,36 ,51 ,62 
BRILL,GK,63,62 ,64 ,60 ,61 ,31 ,62 
SAMSON,GK,62,58 ,62 ,53 ,63 ,46 ,61 
GRIFFITHS,GK,58,59 ,56 ,64 ,60 ,47 ,54 
