DOOLAN,ST,66,72 ,63 ,43 ,67 ,25 ,65 
AZEEZ,ST,59,88 ,54 ,44 ,57 ,22 ,56 
MCLAUGHLIN,ST,47,69 ,43 ,44 ,46 ,32 ,57 
OSMAN,CDM,67,68 ,33 ,54 ,59 ,66 ,77 
LAWLESS,LM,67,74 ,63 ,63 ,69 ,24 ,62 
AMOO,RM,67,93 ,60 ,58 ,68 ,41 ,68 
ERSKINE,CAM,66,70 ,63 ,61 ,70 ,29 ,56 
BANTON,LM,65,84 ,63 ,56 ,67 ,32 ,59 
BANNIGAN,CDM,65,73 ,53 ,64 ,68 ,58 ,74 
FRASER,CDM,63,68 ,59 ,62 ,62 ,58 ,67 
WELSH,CDM,63,69 ,51 ,60 ,60 ,60 ,65 
BARTON,CM,63,57 ,55 ,64 ,63 ,46 ,57 
ELLIOTT,LM,63,77 ,56 ,57 ,63 ,52 ,72 
EDWARDS,CAM,61,75 ,49 ,57 ,66 ,39 ,56 
MCDAID,RM,60,76 ,47 ,56 ,64 ,37 ,56 
WILSON,CM,53,60 ,39 ,51 ,50 ,44 ,58 
DOCHERTY,CM,52,65 ,40 ,50 ,51 ,42 ,58 
BOOTH,LB,66,73 ,45 ,55 ,63 ,63 ,74 
GORDON,RB,65,79 ,33 ,47 ,61 ,62 ,67 
DUMBUYA,RB,65,90 ,35 ,56 ,63 ,60 ,73 
DEVINE,CB,63,72 ,32 ,40 ,47 ,64 ,64 
LINDSAY,CB,60,58 ,25 ,43 ,41 ,56 ,73 
SYME,CB,57,63 ,24 ,32 ,38 ,58 ,57 
MCMULLIN,CB,54,62 ,32 ,35 ,42 ,55 ,56 
PENRICE,LB,52,63 ,29 ,35 ,46 ,53 ,56 
ČERNÝ,GK,66,64 ,64 ,63 ,64 ,53 ,66 
SCULLY,GK,56,59 ,53 ,50 ,57 ,43 ,54 
