BOYCE,ST,67,71 ,68 ,47 ,62 ,26 ,78 
SCHALK,ST,65,75 ,66 ,46 ,68 ,30 ,59 
CURRAN,ST,63,77 ,61 ,56 ,62 ,30 ,62 
WOODS,CM,66,75 ,60 ,65 ,67 ,52 ,70 
LALKOVIČ,LM,65,83 ,59 ,57 ,67 ,38 ,64 
CHOW,CM,65,66 ,56 ,61 ,62 ,60 ,69 
O'BRIEN,RM,65,68 ,60 ,62 ,64 ,54 ,68 
MCSHANE,CM,64,73 ,57 ,63 ,64 ,50 ,68 
GARDYNE,LM,64,81 ,57 ,56 ,70 ,44 ,59 
DINGWALL,CM,60,74 ,53 ,58 ,65 ,51 ,61 
ROUTIS,CDM,58,58 ,46 ,52 ,57 ,55 ,69 
FRANKS,RM,58,73 ,52 ,49 ,61 ,34 ,56 
ČIKOŠ,RB,69,70 ,48 ,63 ,64 ,64 ,64 
DAVIES,CB,68,65 ,25 ,39 ,42 ,66 ,82 
WEG,CB,67,61 ,31 ,44 ,53 ,65 ,76 
MCEVELEY,CB,66,57 ,45 ,54 ,58 ,65 ,70 
QUINN,CB,66,58 ,28 ,53 ,60 ,64 ,70 
FRASER,RB,60,71 ,26 ,40 ,53 ,61 ,63 
FOX,GK,63,67 ,60 ,56 ,64 ,27 ,59 
MCCAREY,GK,61,64 ,58 ,64 ,62 ,34 ,59 
