GÓMEZ,ST,87,94 ,86 ,89 ,92 ,44 ,74 
GÓMEZ,ST,86,93 ,84 ,87 ,91 ,40 ,70 
GÓMEZ,CF,84,91 ,80 ,83 ,90 ,35 ,66 
GÓMEZ,LW,81,89 ,71 ,77 ,87 ,31 ,60 
GÓMEZ,LW,80,89 ,71 ,75 ,86 ,31 ,58 
PALOSCHI,ST,78,77 ,72 ,56 ,73 ,22 ,80 
PINILLA,ST,76,68 ,75 ,57 ,70 ,27 ,76 
MOUNIER,RW,76,84 ,68 ,72 ,80 ,34 ,65 
PETAGNA,ST,73,64 ,68 ,49 ,66 ,22 ,78 
PEŠIĆ,ST,71,59 ,69 ,63 ,67 ,43 ,77 
PETAGNA,ST,66,62 ,61 ,46 ,60 ,20 ,75 
MOLINA,RW,64,76 ,48 ,64 ,72 ,35 ,64 
KURTIĆ,CM,75,69 ,63 ,72 ,70 ,72 ,82 
KESSIÉ,CM,75,70 ,65 ,69 ,74 ,73 ,79 
CARMONA,CM,75,76 ,59 ,73 ,72 ,72 ,76 
KESSIÉ,CM,74,70 ,65 ,75 ,77 ,75 ,80 
CRISTANTE,CM,72,62 ,56 ,71 ,72 ,62 ,69 
MIGLIACCIO,CM,72,55 ,61 ,69 ,68 ,72 ,73 
D'ALESSANDRO,RM,70,90 ,61 ,62 ,73 ,24 ,53 
KESSIÉ,CM,70,67 ,58 ,67 ,70 ,70 ,73 
SPINAZZOLA,LM,70,77 ,63 ,65 ,73 ,63 ,72 
FREULER,CM,68,69 ,63 ,68 ,63 ,54 ,67 
GAGLIARDINI,CM,61,65 ,48 ,52 ,64 ,47 ,58 
KONKO,RB,76,79 ,59 ,71 ,73 ,73 ,73 
MASIELLO,CB,75,66 ,37 ,55 ,57 ,76 ,76 
DRAMÉ,LB,75,81 ,56 ,64 ,72 ,73 ,75 
STENDARDO,CB,75,34 ,35 ,37 ,36 ,79 ,71 
ZUKANOVIĆ,CB,75,66 ,49 ,64 ,55 ,76 ,76 
TOLÓI,CB,75,64 ,46 ,52 ,57 ,77 ,71 
CALDARA,CB,74,64 ,20 ,39 ,49 ,76 ,71 
MASIELLO,CB,74,66 ,37 ,55 ,57 ,75 ,74 
MASIELLO,CB,74,68 ,42 ,60 ,62 ,80 ,80 
CALDARA,CB,74,65 ,40 ,45 ,55 ,81 ,76 
SUAGHER,CB,71,59 ,32 ,36 ,45 ,73 ,74 
CONTI,RB,71,69 ,40 ,62 ,64 ,69 ,63 
HATEBOER,RB,71,75 ,42 ,56 ,62 ,70 ,74 
CALDARA,CB,69,64 ,20 ,36 ,48 ,71 ,67 
RAIMONDI,RB,68,59 ,53 ,63 ,61 ,68 ,71 
SPORTIELLO,GK,82,84 ,80 ,72 ,85 ,48 ,79 
BERISHA,GK,81,84 ,80 ,72 ,84 ,34 ,80 
BERISHA,GK,77,79 ,74 ,67 ,81 ,28 ,77 
BERISHA,GK,75,79 ,70 ,63 ,79 ,28 ,74 
BASSI,GK,71,70 ,65 ,60 ,74 ,40 ,74 
GOLLINI,GK,71,73 ,60 ,62 ,76 ,46 ,70 
