BORRIELLO,ST,81,65 ,80 ,63 ,78 ,30 ,73 
IBARBO,RW,75,92 ,71 ,66 ,77 ,37 ,78 
BORRIELLO,ST,75,63 ,73 ,59 ,70 ,27 ,68 
FARÍAS,ST,74,89 ,75 ,70 ,82 ,27 ,52 
SAU,ST,74,92 ,72 ,72 ,80 ,22 ,56 
MELCHIORRI,ST,73,84 ,70 ,53 ,70 ,26 ,67 
GIANNETTI,ST,70,83 ,65 ,59 ,70 ,22 ,63 
IONIŢĂ,CM,81,70 ,80 ,77 ,80 ,78 ,85 
ISLA,CDM,76,80 ,59 ,74 ,77 ,73 ,73 
TACHTSIDIS,CDM,75,55 ,59 ,74 ,66 ,69 ,80 
IONIŢĂ,CM,75,68 ,69 ,72 ,74 ,71 ,81 
FARÍAS,CAM,74,88 ,67 ,65 ,79 ,23 ,47 
DI GENNARO,CM,73,75 ,64 ,75 ,72 ,51 ,66 
PEDRO,CAM,73,77 ,73 ,68 ,72 ,40 ,68 
DESSENA,CM,71,70 ,64 ,67 ,70 ,70 ,74 
MUNARI,CM,68,43 ,66 ,67 ,63 ,62 ,80 
BARELLA,CM,65,77 ,50 ,66 ,71 ,46 ,59 
DEIOLA,CM,62,70 ,62 ,58 ,56 ,56 ,73 
ALVES,CB,79,58 ,69 ,67 ,68 ,77 ,84 
PADOIN,LB,73,69 ,63 ,75 ,75 ,72 ,67 
CAPUANO,CB,72,67 ,33 ,49 ,56 ,71 ,82 
CEPPITELLI,CB,72,63 ,33 ,33 ,38 ,73 ,76 
SALAMON,CB,71,58 ,46 ,58 ,60 ,71 ,73 
MURRU,LB,71,79 ,36 ,53 ,63 ,70 ,70 
BITTANTE,RB,70,74 ,44 ,63 ,67 ,66 ,65 
PISACANE,RB,65,57 ,26 ,50 ,59 ,68 ,73 
MIANGUE,LB,62,55 ,43 ,55 ,58 ,63 ,66 
STORARI,GK,76,78 ,76 ,66 ,78 ,49 ,75 
RAFAEL,GK,75,77 ,70 ,60 ,79 ,43 ,76 
GABRIEL,GK,74,77 ,74 ,61 ,79 ,38 ,69 
COLOMBO,GK,65,63 ,64 ,55 ,69 ,27 ,64 
