FALCINELLI,ST,74,74 ,80 ,60 ,77 ,25 ,72 
PALLADINO,LW,73,76 ,63 ,65 ,80 ,19 ,53 
STOIAN,LW,70,74 ,65 ,66 ,76 ,31 ,50 
FALCINELLI,ST,70,72 ,67 ,51 ,68 ,20 ,65 
SIMY,ST,69,53 ,71 ,43 ,55 ,30 ,74 
TROTTA,ST,69,68 ,67 ,46 ,61 ,39 ,69 
DE GIORGIO,LW,63,68 ,61 ,55 ,65 ,25 ,63 
NALINI,RW,60,67 ,60 ,56 ,61 ,28 ,54 
CRISETIG,CM,73,60 ,51 ,72 ,72 ,65 ,74 
ROHDÉN,CM,72,76 ,67 ,66 ,70 ,56 ,78 
MARTELLA,LM,71,77 ,56 ,69 ,66 ,59 ,71 
CAPEZZI,CM,70,61 ,57 ,70 ,67 ,50 ,56 
TONEV,RM,68,87 ,66 ,64 ,70 ,42 ,60 
GNAHORÉ,CM,67,77 ,62 ,60 ,67 ,56 ,72 
BARBERIS,CM,66,67 ,46 ,64 ,63 ,56 ,63 
ACOSTY,RM,66,83 ,61 ,55 ,71 ,32 ,64 
SALZANO,CM,66,57 ,53 ,64 ,62 ,54 ,67 
ZAMPANO,RM,62,66 ,47 ,61 ,62 ,57 ,62 
FAZZI,CM,60,65 ,40 ,53 ,57 ,42 ,70 
CLAITON,CB,73,54 ,23 ,37 ,52 ,75 ,71 
DUSSENNE,CB,71,48 ,33 ,46 ,45 ,71 ,74 
ROSI,RB,71,78 ,57 ,65 ,68 ,65 ,76 
FERRARI,CB,71,48 ,18 ,34 ,42 ,72 ,74 
CECCHERINI,CB,70,65 ,15 ,34 ,50 ,69 ,77 
SAMPIRISI,RB,70,69 ,37 ,60 ,60 ,71 ,73 
NICOLETTI,LB,57,69 ,32 ,46 ,54 ,53 ,60 
BRUNO,LB,54,60 ,27 ,34 ,49 ,56 ,52 
CORDAZ,GK,68,63 ,64 ,57 ,71 ,25 ,69 
FESTA,GK,62,65 ,62 ,58 ,61 ,48 ,59 
