KALINIĆ,ST,85,78 ,87 ,72 ,81 ,40 ,84 
KALINIĆ,ST,83,76 ,85 ,70 ,76 ,37 ,80 
KALINIĆ,ST,80,74 ,78 ,62 ,73 ,35 ,76 
ILIČIĆ,CF,80,72 ,81 ,80 ,81 ,37 ,65 
TELLO,RW,78,92 ,70 ,70 ,82 ,24 ,59 
ZÁRATE,ST,77,80 ,79 ,68 ,85 ,33 ,65 
BABACAR,ST,76,75 ,76 ,55 ,72 ,28 ,71 
HAGI,RW,63,68 ,60 ,58 ,66 ,33 ,57 
BADELJ,CM,83,64 ,70 ,82 ,80 ,80 ,81 
BERNARDESCHI,LM,83,85 ,81 ,82 ,86 ,40 ,70 
VALERO,CAM,83,72 ,71 ,85 ,85 ,63 ,66 
SAPONARA,CAM,80,76 ,68 ,80 ,82 ,31 ,67 
SAPONARA,CAM,80,76 ,68 ,80 ,82 ,31 ,67 
BERNARDESCHI,RM,80,83 ,73 ,75 ,82 ,36 ,64 
BADELJ,CDM,79,62 ,61 ,76 ,73 ,75 ,75 
BERNARDESCHI,RM,78,83 ,70 ,74 ,82 ,36 ,64 
CRISTÓFORO,CDM,78,66 ,52 ,66 ,65 ,78 ,72 
VECINO,CM,77,69 ,66 ,74 ,74 ,70 ,77 
SÁNCHEZ,CDM,76,67 ,58 ,69 ,70 ,72 ,85 
DIAKHATE,CM,56,65 ,46 ,54 ,52 ,53 ,63 
RODRÍGUEZ,CB,83,68 ,47 ,62 ,66 ,85 ,77 
ASTORI,CB,81,68 ,36 ,52 ,60 ,84 ,77 
DE MAIO,CB,77,67 ,31 ,37 ,38 ,77 ,83 
TOMOVIĆ,CB,76,71 ,38 ,59 ,65 ,77 ,77 
SALCEDO,CB,73,64 ,26 ,49 ,59 ,74 ,74 
MILIĆ,LB,71,72 ,59 ,68 ,70 ,70 ,62 
DIKS,RB,71,77 ,40 ,54 ,66 ,71 ,71 
GILBERTO,RB,70,78 ,50 ,62 ,74 ,67 ,67 
SPORTIELLO,GK,82,84 ,80 ,72 ,85 ,48 ,79 
SPORTIELLO,GK,82,84 ,80 ,72 ,85 ,48 ,79 
TĂTĂRUŞANU,GK,77,74 ,75 ,74 ,78 ,50 ,79 
DRĄGOWSKI,GK,71,68 ,68 ,70 ,74 ,46 ,71 
LEZZERINI,GK,66,67 ,60 ,60 ,70 ,46 ,64 
