GILARDINO,ST,75,62 ,73 ,60 ,70 ,29 ,66 
CAPRARI,CF,73,87 ,66 ,70 ,79 ,17 ,53 
BAHEBECK,ST,72,78 ,70 ,69 ,75 ,29 ,67 
CERRI,ST,68,60 ,67 ,46 ,65 ,19 ,74 
MANAJ,ST,67,67 ,63 ,47 ,65 ,20 ,64 
MURIĆ,RW,67,79 ,62 ,59 ,76 ,27 ,60 
MITRIŢĂ,CF,67,80 ,63 ,52 ,77 ,22 ,53 
PETTINARI,ST,61,72 ,60 ,54 ,60 ,24 ,66 
MÜLLER,CF,57,69 ,48 ,56 ,67 ,18 ,39 
MANCINI,LW,56,70 ,42 ,45 ,65 ,18 ,44 
MONNI,ST,55,67 ,51 ,51 ,58 ,24 ,47 
AQUILANI,CM,78,54 ,72 ,83 ,78 ,60 ,62 
PEPE,RM,77,79 ,73 ,77 ,80 ,58 ,62 
PEPE,RM,74,72 ,70 ,76 ,76 ,58 ,59 
CUBAS,CDM,73,73 ,46 ,66 ,70 ,73 ,54 
MEMUSHAJ,CM,72,74 ,60 ,70 ,74 ,59 ,66 
CRISTANTE,CM,72,62 ,56 ,71 ,72 ,62 ,69 
BENALI,CAM,72,77 ,59 ,69 ,74 ,41 ,62 
VERRE,CM,70,72 ,59 ,66 ,70 ,53 ,68 
BRUGMAN,CM,68,70 ,56 ,70 ,70 ,40 ,54 
BRUNO,CM,66,42 ,48 ,64 ,63 ,57 ,67 
MILIČEVIĆ,CDM,58,51 ,31 ,55 ,53 ,56 ,61 
BOVO,CB,76,55 ,50 ,54 ,59 ,78 ,70 
STENDARDO,CB,75,34 ,35 ,37 ,36 ,79 ,71 
BIRAGHI,LB,73,79 ,55 ,62 ,65 ,75 ,72 
CAMPAGNARO,CB,72,60 ,39 ,52 ,60 ,72 ,73 
GYÖMBÉR,CB,72,55 ,19 ,38 ,48 ,75 ,66 
CODA,CB,70,53 ,32 ,41 ,47 ,72 ,73 
ŽUPARIĆ,CB,70,55 ,21 ,44 ,54 ,72 ,72 
ZAMPANO,RB,69,77 ,38 ,55 ,68 ,65 ,63 
CRESCENZI,LB,67,76 ,38 ,53 ,64 ,63 ,74 
FORNASIER,CB,67,60 ,18 ,34 ,45 ,68 ,67 
BIZZARRI,GK,76,77 ,76 ,67 ,75 ,55 ,79 
FIORILLO,GK,70,70 ,68 ,66 ,72 ,36 ,67 
PIGLIACELLI,GK,66,66 ,64 ,60 ,73 ,45 ,64 
ALDEGANI,GK,62,66 ,61 ,56 ,59 ,37 ,60 
