QUAGLIARELLA,ST,79,72 ,84 ,71 ,77 ,24 ,68 
CASSANO,CF,78,38 ,74 ,85 ,82 ,16 ,46 
ÁLVAREZ,CAM,77,66 ,71 ,78 ,80 ,53 ,72 
MURIEL,ST,76,89 ,74 ,64 ,84 ,23 ,62 
ĐURIČIĆ,CAM,76,77 ,66 ,72 ,82 ,35 ,59 
LINETTY,CDM,74,73 ,60 ,67 ,69 ,70 ,73 
SCHICK,ST,72,76 ,69 ,62 ,74 ,25 ,61 
BUDIMIR,ST,71,64 ,71 ,45 ,65 ,31 ,68 
PRAET,RM,78,75 ,69 ,78 ,76 ,53 ,66 
CIGARINI,CM,77,67 ,66 ,81 ,76 ,62 ,64 
FERNANDES,CM,76,79 ,67 ,74 ,79 ,63 ,62 
BARRETO,CM,74,68 ,65 ,73 ,70 ,70 ,74 
DODÔ,LM,74,78 ,56 ,72 ,78 ,64 ,67 
SALA,CM,73,77 ,63 ,72 ,73 ,69 ,76 
PALOMBO,CM,72,58 ,59 ,72 ,69 ,70 ,72 
TORREIRA,CM,71,77 ,52 ,65 ,75 ,57 ,68 
ERAMO,CM,68,68 ,59 ,65 ,68 ,55 ,68 
PALUMBO,CM,62,71 ,46 ,62 ,64 ,48 ,69 
SILVESTRE,CB,74,54 ,47 ,55 ,55 ,75 ,72 
REGINI,LB,72,68 ,39 ,53 ,60 ,75 ,72 
KRAJNC,CB,70,65 ,33 ,53 ,60 ,70 ,72 
PAVLOVIC,LB,68,68 ,42 ,71 ,65 ,66 ,67 
ŠKRINIAR,CB,68,65 ,43 ,52 ,48 ,69 ,67 
PEREIRA,RB,67,75 ,36 ,54 ,64 ,63 ,56 
VIVIANO,GK,82,81 ,84 ,79 ,83 ,30 ,78 
PUGGIONI,GK,71,73 ,71 ,59 ,74 ,44 ,68 
TOZZO,GK,61,64 ,59 ,68 ,61 ,31 ,60 
