FALQUÉ,RW,82,82 ,75 ,80 ,85 ,35 ,60 
LJAJIĆ,LW,78,80 ,74 ,75 ,83 ,32 ,60 
LÓPEZ,ST,78,67 ,77 ,63 ,73 ,24 ,75 
FALQUÉ,RW,78,80 ,69 ,74 ,82 ,33 ,56 
VALDIFIORI,CDM,77,68 ,57 ,81 ,69 ,69 ,73 
BELOTTI,ST,77,77 ,76 ,55 ,74 ,26 ,77 
VIVES,CDM,75,60 ,58 ,73 ,69 ,69 ,68 
MARTÍNEZ,ST,72,90 ,63 ,64 ,82 ,18 ,71 
GUSTAFSON,CAM,68,65 ,61 ,68 ,69 ,50 ,59 
BOYÉ,ST,68,69 ,63 ,60 ,72 ,31 ,73 
ARAMU,RW,67,76 ,58 ,65 ,73 ,35 ,57 
BASELLI,CM,79,77 ,72 ,80 ,79 ,64 ,70 
BENASSI,CM,77,69 ,70 ,74 ,76 ,71 ,77 
ACQUAH,CM,74,81 ,61 ,69 ,75 ,66 ,83 
OBI,CM,73,80 ,63 ,70 ,77 ,69 ,71 
CASTÁN,CB,80,69 ,33 ,47 ,57 ,80 ,76 
MORETTI,CB,77,55 ,32 ,50 ,53 ,79 ,74 
ZAPPACOSTA,RWB,77,82 ,67 ,69 ,73 ,73 ,72 
SILVESTRI,RB,77,79 ,57 ,66 ,71 ,76 ,79 
BOVO,CB,76,55 ,50 ,54 ,59 ,78 ,70 
AVELAR,LB,76,75 ,56 ,64 ,74 ,74 ,74 
MOLINARO,LWB,75,77 ,50 ,68 ,71 ,73 ,74 
ROSSETTINI,CB,75,64 ,44 ,44 ,51 ,78 ,74 
AJETI,CB,68,72 ,32 ,52 ,51 ,67 ,72 
BARRECA,LB,67,85 ,27 ,49 ,65 ,60 ,69 
HART,GK,84,84 ,81 ,75 ,87 ,59 ,82 
PADELLI,GK,77,78 ,79 ,63 ,77 ,49 ,77 
