ZAPATA,ST,78,74 ,77 ,52 ,72 ,27 ,78 
THÉRÉAU,ST,78,74 ,76 ,68 ,76 ,27 ,72 
PEÑARANDA,ST,76,84 ,75 ,69 ,82 ,34 ,64 
KONE,CAM,76,76 ,72 ,74 ,77 ,56 ,71 
RYDER,ST,75,80 ,70 ,63 ,80 ,30 ,66 
EVANGELISTA,CAM,72,76 ,61 ,71 ,74 ,53 ,61 
PERICA,ST,72,71 ,71 ,48 ,64 ,26 ,70 
EWANDRO,ST,69,78 ,69 ,59 ,75 ,23 ,45 
KUMS,CM,79,65 ,64 ,79 ,76 ,69 ,65 
WIDMER,RM,76,81 ,63 ,72 ,75 ,71 ,78 
HALLFREÐSSON,CM,76,68 ,65 ,77 ,74 ,71 ,75 
DE PAUL,LM,75,71 ,71 ,75 ,79 ,39 ,63 
BADU,CM,75,82 ,67 ,71 ,77 ,72 ,74 
LODI,CDM,75,55 ,65 ,84 ,73 ,65 ,66 
ADNAN,LM,73,79 ,66 ,68 ,74 ,67 ,79 
JANKTO,LM,68,83 ,50 ,65 ,67 ,49 ,57 
FOFANA,CM,68,72 ,60 ,65 ,68 ,60 ,73 
DANILO,CB,79,55 ,39 ,49 ,52 ,84 ,71 
HEURTAUX,CB,78,68 ,43 ,50 ,56 ,80 ,74 
ARMERO,LB,75,87 ,67 ,71 ,76 ,69 ,74 
FELIPE,CB,75,52 ,35 ,51 ,52 ,79 ,66 
ANGELLA,CB,74,54 ,42 ,51 ,49 ,75 ,73 
WAGUÉ,CB,74,60 ,33 ,41 ,44 ,74 ,81 
SAMIR,CB,73,66 ,33 ,42 ,48 ,74 ,72 
FARAONI,RB,71,75 ,58 ,69 ,70 ,65 ,73 
KARNEZIS,GK,82,80 ,83 ,70 ,84 ,44 ,80 
SCUFFET,GK,74,73 ,72 ,61 ,83 ,50 ,69 
