BOLI,ST,74,84 ,71 ,54 ,78 ,28 ,66 
BUDKIVSKYI,ST,68,65 ,68 ,47 ,62 ,28 ,65 
PRUDNIKOV,ST,67,63 ,68 ,56 ,63 ,28 ,71 
ILIČEVIĆ,LM,75,77 ,71 ,74 ,78 ,31 ,57 
YAKOVLEV,LM,72,77 ,69 ,66 ,73 ,44 ,66 
RABIU,CDM,72,75 ,28 ,59 ,64 ,74 ,81 
BERISHA,LM,71,90 ,59 ,64 ,70 ,32 ,65 
EBECILIO,CAM,71,77 ,67 ,68 ,73 ,36 ,72 
OBERTAN,RM,70,83 ,61 ,62 ,73 ,34 ,66 
MAYEVSKIY,CDM,70,59 ,44 ,59 ,62 ,70 ,72 
MKRTCHYAN,CDM,69,66 ,46 ,58 ,63 ,69 ,64 
DUDIEV,RM,68,88 ,34 ,66 ,69 ,60 ,69 
MOUTARI,RM,66,84 ,52 ,61 ,69 ,41 ,53 
LYAKH,CDM,64,56 ,52 ,57 ,66 ,62 ,59 
KARETNIK,CM,63,68 ,57 ,61 ,65 ,51 ,63 
GASANOV,CDM,62,57 ,35 ,52 ,48 ,64 ,63 
GEORGIEVSKIY,CAM,62,74 ,55 ,58 ,69 ,31 ,54 
BATOV,CAM,62,68 ,56 ,56 ,69 ,45 ,58 
GAZIMAGOMEDOV,RM,61,73 ,53 ,59 ,67 ,38 ,39 
DZHAMALUTDINOV,CM,60,68 ,47 ,57 ,66 ,49 ,48 
XANDÃO,CB,78,53 ,42 ,53 ,57 ,79 ,79 
GADZHIBEKOV,CB,72,69 ,52 ,61 ,57 ,72 ,71 
ZHIROV,CB,71,54 ,30 ,42 ,33 ,70 ,82 
BRYZGALOV,CB,71,73 ,42 ,57 ,56 ,70 ,69 
PARSHIVLYUK,RB,71,76 ,55 ,64 ,67 ,69 ,72 
TIGIEV,LB,70,84 ,45 ,57 ,68 ,68 ,66 
YAMBÉRÉ,CB,69,51 ,30 ,43 ,36 ,70 ,73 
LAZIĆ,CB,67,67 ,28 ,48 ,49 ,67 ,67 
MENSAH,CB,64,66 ,37 ,46 ,47 ,61 ,71 
MUSALOV,LB,63,77 ,44 ,51 ,66 ,62 ,57 
FORBES,RB,61,70 ,61 ,53 ,55 ,60 ,70 
BELENOV,GK,75,75 ,69 ,71 ,80 ,54 ,76 
YURCHENKO,GK,73,65 ,71 ,70 ,75 ,46 ,76 
FILTSOV,GK,65,64 ,58 ,65 ,67 ,42 ,65 
SHAFINSKIY,GK,61,67 ,51 ,53 ,69 ,41 ,57 
