RASIC,ST,65,38 ,67 ,42 ,52 ,28 ,75 
SHEVCHENKO,ST,65,70 ,62 ,51 ,67 ,38 ,71 
APPAEV,ST,64,69 ,63 ,46 ,62 ,30 ,67 
FORBES,ST,61,70 ,61 ,53 ,55 ,60 ,70 
ADZHOEV,ST,60,60 ,63 ,42 ,57 ,23 ,55 
MASLOV,ST,56,64 ,52 ,42 ,62 ,22 ,59 
ALEKSANDROV,RM,70,81 ,62 ,63 ,72 ,39 ,61 
FRIMPONG,CM,69,73 ,58 ,65 ,70 ,64 ,68 
DOUMBIA,LM,69,82 ,60 ,63 ,73 ,37 ,60 
BURMISTROV,LM,69,71 ,67 ,64 ,64 ,26 ,66 
SHESHUKOV,CDM,69,67 ,52 ,66 ,65 ,68 ,70 
VLASOV,CAM,69,76 ,64 ,71 ,68 ,56 ,72 
GORBANETS,LM,68,69 ,63 ,67 ,68 ,47 ,65 
RYZHKOV,CAM,66,68 ,61 ,66 ,67 ,41 ,57 
GORBATENKO,LM,66,69 ,67 ,65 ,68 ,49 ,49 
SMIRNOV,CDM,65,32 ,56 ,60 ,52 ,62 ,82 
MUKHAMETSHIN,LM,64,61 ,66 ,62 ,61 ,24 ,57 
BERKHAMOV,CM,63,68 ,63 ,65 ,65 ,55 ,56 
STEKLOV,CDM,60,53 ,46 ,61 ,62 ,54 ,54 
STOLYARENKO,CDM,52,64 ,38 ,37 ,43 ,57 ,56 
KOMBAROV,RB,73,75 ,61 ,72 ,74 ,69 ,69 
SUNZU,CB,72,70 ,35 ,54 ,51 ,70 ,78 
IVANOV,CB,71,68 ,26 ,48 ,44 ,71 ,77 
VERGARA,CB,69,54 ,14 ,31 ,52 ,72 ,69 
BELYAEV,CB,68,67 ,28 ,39 ,36 ,72 ,65 
AWAL,CB,67,56 ,42 ,47 ,54 ,63 ,81 
KHAGUSH,RB,66,69 ,33 ,58 ,64 ,64 ,69 
AYDOV,LB,64,60 ,33 ,47 ,63 ,65 ,62 
TESÁK,LB,63,62 ,47 ,57 ,61 ,66 ,66 
GORBATYUK,CB,61,49 ,33 ,34 ,35 ,65 ,55 
KALESHIN,CB,61,46 ,36 ,45 ,48 ,60 ,69 
DENISOV,LB,58,66 ,48 ,57 ,54 ,54 ,57 
REBENKO,CB,56,75 ,30 ,34 ,39 ,57 ,57 
GERUS,GK,66,62 ,61 ,68 ,68 ,27 ,66 
FILTSOV,GK,65,64 ,58 ,65 ,67 ,42 ,65 
BEREZIN,GK,57,61 ,49 ,54 ,63 ,44 ,53 
