MOLLO,LW,74,81 ,69 ,70 ,78 ,31 ,73 
MBAKOGU,ST,74,89 ,70 ,58 ,71 ,25 ,78 
BRUNO,ST,69,66 ,65 ,58 ,70 ,24 ,62 
KORNILENKO,ST,68,62 ,67 ,55 ,58 ,34 ,82 
SADIK,ST,67,59 ,67 ,58 ,59 ,26 ,75 
ZUEV,LW,65,73 ,59 ,60 ,69 ,41 ,50 
KUDRYASHOV,ST,58,72 ,58 ,43 ,58 ,22 ,47 
VIZNOVICH,ST,58,66 ,56 ,46 ,55 ,22 ,49 
GOLENKOV,ST,57,54 ,55 ,43 ,49 ,28 ,65 
TKACHEV,RM,72,72 ,71 ,70 ,71 ,33 ,66 
PASQUATO,CAM,72,84 ,66 ,68 ,79 ,17 ,53 
MIJAILOVIĆ,CDM,68,67 ,47 ,63 ,64 ,64 ,69 
CHOCHIEV,RM,68,71 ,58 ,63 ,66 ,53 ,62 
BASHKIROV,CDM,63,70 ,58 ,61 ,59 ,62 ,57 
ZINKOV,CDM,59,68 ,55 ,61 ,61 ,56 ,59 
KIRITSA,CM,53,61 ,41 ,55 ,53 ,50 ,52 
GADZHIBEKOV,CB,72,69 ,52 ,61 ,57 ,72 ,71 
TSALLAGOV,RB,71,81 ,48 ,59 ,71 ,66 ,64 
TARANOV,CB,70,67 ,42 ,56 ,57 ,70 ,74 
NADSON,CB,70,51 ,34 ,57 ,53 ,69 ,71 
BATEAU,CB,69,72 ,30 ,48 ,52 ,68 ,75 
MARGASOV,RB,69,73 ,33 ,57 ,64 ,69 ,61 
RODIĆ,LB,67,69 ,36 ,52 ,64 ,64 ,66 
YATCHENKO,LB,67,81 ,35 ,58 ,47 ,65 ,63 
KONTSEDALOV,CB,65,57 ,21 ,50 ,37 ,65 ,69 
BOZHIN,CB,59,69 ,27 ,35 ,35 ,61 ,61 
MASALSKIY,CB,57,59 ,29 ,30 ,37 ,57 ,64 
KRASNOV,CB,56,54 ,30 ,35 ,37 ,57 ,57 
LORIA,GK,72,69 ,66 ,68 ,74 ,50 ,75 
KONYUKHOV,GK,69,72 ,62 ,75 ,71 ,42 ,69 
PAVLOV,GK,56,58 ,52 ,46 ,62 ,28 ,54 
SHILNIKOV,GK,56,57 ,48 ,58 ,63 ,42 ,51 
