PRUDNIKOV,ST,67,63 ,68 ,56 ,63 ,28 ,71 
DELKIN,ST,66,67 ,65 ,44 ,62 ,24 ,63 
SANAIA,ST,64,55 ,64 ,42 ,59 ,30 ,71 
NEKHAYCHIK,LM,71,76 ,70 ,70 ,74 ,46 ,66 
GEORGIEV,CDM,71,59 ,61 ,71 ,69 ,70 ,73 
PARNYAKOV,RM,69,78 ,58 ,65 ,70 ,30 ,50 
NEKHAYCHIK,LM,69,74 ,64 ,65 ,69 ,42 ,62 
VOROBIEV,CM,68,68 ,58 ,65 ,71 ,59 ,63 
AFONIN,CDM,67,68 ,55 ,65 ,56 ,67 ,57 
POMERKO,CDM,67,64 ,55 ,60 ,62 ,68 ,69 
EFREMOV,RM,66,77 ,58 ,62 ,69 ,39 ,48 
POPOVIČ,CM,65,70 ,50 ,66 ,66 ,55 ,63 
BAMBA,CAM,64,71 ,53 ,59 ,70 ,30 ,54 
SHOGENOV,CM,63,66 ,65 ,63 ,63 ,54 ,71 
BREEV,CM,62,73 ,50 ,60 ,61 ,60 ,64 
BATOV,CAM,62,68 ,56 ,56 ,69 ,45 ,58 
POLUYAKHTOV,LB,71,70 ,60 ,65 ,65 ,73 ,76 
OYEWOLE,CB,67,60 ,42 ,52 ,47 ,66 ,74 
ANDREEV,CB,67,32 ,44 ,52 ,42 ,67 ,72 
BORDACHEV,LB,66,70 ,49 ,60 ,58 ,64 ,70 
ŽUNIĆ,CB,65,59 ,30 ,38 ,45 ,65 ,74 
POLUYAKHTOV,LB,65,67 ,46 ,53 ,57 ,67 ,70 
KATSALAPOV,RB,64,72 ,42 ,56 ,50 ,67 ,63 
MALYKH,RB,64,70 ,60 ,60 ,64 ,59 ,67 
VASIEV,LB,61,69 ,40 ,55 ,54 ,60 ,60 
KERZHAKOV,GK,76,75 ,76 ,73 ,74 ,38 ,77 
ABAKUMOV,GK,68,66 ,67 ,59 ,70 ,42 ,69 
RUDENKO,GK,63,60 ,63 ,52 ,64 ,24 ,62 
GUTOR,GK,63,64 ,58 ,56 ,67 ,44 ,63 
