KROTOV,ST,70,78 ,68 ,62 ,73 ,45 ,63 
ABDULAVOV,ST,64,75 ,63 ,44 ,63 ,29 ,67 
SYSUEV,ST,63,68 ,63 ,55 ,65 ,22 ,54 
BATYUTIN,LW,63,72 ,65 ,52 ,68 ,20 ,56 
IGBOUN,LM,73,92 ,69 ,60 ,75 ,32 ,78 
MARCINHO,RM,71,72 ,69 ,68 ,76 ,56 ,62 
PAUREVIĆ,CDM,70,50 ,56 ,61 ,57 ,69 ,74 
ZASEEV,CDM,68,61 ,40 ,59 ,57 ,65 ,72 
VANĚK,CAM,64,70 ,57 ,58 ,69 ,40 ,58 
DIEGO,LM,64,82 ,59 ,57 ,68 ,29 ,51 
ZUBAREV,CDM,63,56 ,51 ,58 ,60 ,59 ,65 
BEZDENEZHNYKH,CAM,62,62 ,55 ,58 ,68 ,44 ,48 
OBLYAKOV,CAM,61,67 ,49 ,59 ,71 ,39 ,57 
JOKIČ,LB,76,74 ,56 ,70 ,68 ,74 ,78 
VASIN,CB,73,59 ,41 ,58 ,45 ,73 ,74 
TUMASYAN,CB,68,56 ,49 ,50 ,53 ,68 ,67 
ALIKIN,CB,68,51 ,38 ,39 ,49 ,69 ,73 
PUTSKO,CB,66,62 ,44 ,48 ,40 ,65 ,71 
SUKHOV,LB,66,74 ,33 ,50 ,61 ,68 ,59 
ZHIVOGLYADOV,RB,65,72 ,48 ,60 ,62 ,64 ,63 
SAFRONIDI,LB,65,73 ,64 ,64 ,63 ,65 ,53 
BELENOV,GK,81,80 ,75 ,77 ,84 ,60 ,82 
BELENOV,GK,75,75 ,69 ,71 ,80 ,54 ,76 
