JONATHAS,ST,78,70 ,79 ,58 ,71 ,31 ,80 
DEVIĆ,ST,77,78 ,77 ,69 ,74 ,36 ,69 
LESTIENNE,LW,75,84 ,70 ,71 ,79 ,32 ,64 
ZHEMALETDINOV,LW,64,80 ,67 ,52 ,69 ,29 ,58 
SAMUEL,RM,79,78 ,68 ,79 ,78 ,21 ,62 
SONG,CDM,77,62 ,56 ,68 ,69 ,74 ,79 
ROCHINA,CAM,77,72 ,74 ,75 ,76 ,42 ,72 
KARADENIZ,LM,75,76 ,71 ,69 ,80 ,47 ,61 
OZDOEV,CDM,74,74 ,65 ,70 ,77 ,71 ,73 
KANUNNIKOV,RM,73,85 ,69 ,64 ,74 ,32 ,76 
CAKTAŠ,CAM,72,72 ,67 ,71 ,75 ,41 ,63 
KULIK,CDM,69,69 ,61 ,68 ,71 ,63 ,75 
BILYALETDINOV,CAM,69,58 ,70 ,70 ,69 ,46 ,63 
TKACHUK,LM,68,78 ,72 ,61 ,69 ,34 ,59 
DYADYUN,RM,66,69 ,64 ,62 ,66 ,30 ,70 
BATOV,CAM,62,68 ,56 ,56 ,69 ,45 ,58 
ZAMBRANO,CB,78,67 ,49 ,58 ,64 ,76 ,80 
KUZMIN,RB,77,77 ,62 ,68 ,71 ,75 ,69 
SÁNCHEZ,CB,76,67 ,52 ,60 ,56 ,78 ,78 
NABIULLIN,LB,72,91 ,38 ,62 ,71 ,70 ,58 
KVERKVELIA,CB,72,75 ,30 ,49 ,37 ,75 ,76 
KAMBOLOV,CB,71,66 ,61 ,64 ,60 ,71 ,71 
BURLAK,CB,71,61 ,46 ,55 ,50 ,72 ,69 
BERGSTRÖM,CB,70,65 ,29 ,40 ,43 ,69 ,78 
MAVINGA,LB,70,78 ,42 ,63 ,68 ,66 ,69 
USTINOV,RB,64,77 ,29 ,56 ,55 ,63 ,62 
BAUER,RB,63,80 ,46 ,56 ,63 ,58 ,63 
RYZHIKOV,GK,77,77 ,74 ,61 ,79 ,60 ,76 
NESTERENKO,GK,63,62 ,59 ,57 ,69 ,46 ,62 
AKMURZIN,GK,58,64 ,48 ,58 ,65 ,40 ,51 
