LUÍS,ST,82,77 ,80 ,61 ,77 ,30 ,82 
ADRIANO,ST,79,78 ,79 ,64 ,78 ,30 ,66 
ADRIANO,ST,79,78 ,79 ,64 ,78 ,30 ,66 
LUÍS,ST,77,75 ,74 ,56 ,74 ,27 ,78 
ZUEV,LW,65,73 ,59 ,60 ,69 ,41 ,50 
GLUSHAKOV,CDM,87,74 ,83 ,84 ,84 ,85 ,83 
PROMES,ST,86,93 ,87 ,82 ,87 ,34 ,75 
PROMES,RM,84,91 ,84 ,78 ,85 ,30 ,70 
POPOV,CAM,82,82 ,78 ,83 ,80 ,52 ,76 
PROMES,RM,81,89 ,81 ,74 ,83 ,28 ,67 
POPOV,CAM,79,80 ,75 ,77 ,75 ,48 ,71 
SAMEDOV,RM,79,80 ,73 ,79 ,77 ,50 ,72 
FERNANDO,CDM,78,76 ,65 ,68 ,66 ,78 ,80 
GLUSHAKOV,CDM,77,69 ,74 ,72 ,75 ,75 ,74 
RÔMULO,CDM,77,71 ,63 ,72 ,68 ,77 ,76 
MELGAREJO,LM,76,83 ,73 ,66 ,78 ,67 ,69 
ANANIDZE,CAM,74,75 ,71 ,73 ,76 ,46 ,45 
ZOBNIN,CDM,69,67 ,47 ,61 ,72 ,65 ,66 
TIMOFEEV,CDM,66,68 ,53 ,56 ,61 ,64 ,69 
SAMSONOV,CDM,61,68 ,51 ,59 ,56 ,57 ,61 
TASCI,CB,80,66 ,41 ,64 ,66 ,81 ,72 
MAURÍCIO,CB,78,69 ,47 ,52 ,54 ,79 ,80 
BOCCHETTI,CB,78,74 ,51 ,55 ,61 ,78 ,77 
ESCHENKO,RB,76,80 ,56 ,69 ,69 ,73 ,72 
KOMBAROV,LB,75,78 ,70 ,77 ,74 ,68 ,69 
MAKEEV,CB,71,83 ,52 ,64 ,72 ,71 ,70 
TIGIEV,LB,70,84 ,45 ,57 ,68 ,68 ,66 
KUTEPOV,CB,68,42 ,46 ,52 ,44 ,68 ,73 
PUTSKO,CB,66,62 ,44 ,48 ,40 ,65 ,71 
DZHIKIYA,CB,65,83 ,48 ,45 ,58 ,66 ,66 
KUTIN,RB,63,73 ,26 ,44 ,54 ,65 ,65 
REBROV,GK,73,74 ,69 ,65 ,76 ,46 ,74 
PESYAKOV,GK,72,69 ,65 ,77 ,74 ,54 ,76 
SELIKHOV,GK,69,70 ,67 ,59 ,73 ,29 ,66 
