STANCU,ST,76,75 ,76 ,68 ,74 ,35 ,72 
NECID,ST,74,67 ,76 ,58 ,67 ,35 ,74 
YILMAZ,ST,71,64 ,73 ,61 ,68 ,29 ,71 
YILMAZ,ST,71,64 ,73 ,61 ,68 ,29 ,71 
KANATSIZKUŞ,ST,68,66 ,66 ,54 ,65 ,20 ,68 
BAKIŞ,ST,66,52 ,62 ,48 ,59 ,29 ,66 
BATALLA,CAM,79,73 ,73 ,79 ,80 ,37 ,62 
DEL VALLE,LM,76,87 ,73 ,67 ,80 ,31 ,64 
KISA,CM,75,65 ,74 ,78 ,74 ,53 ,62 
YILDIRIM,RM,73,87 ,67 ,64 ,76 ,26 ,69 
KISA,CM,72,61 ,74 ,77 ,72 ,53 ,56 
YÜCE,CDM,72,50 ,48 ,61 ,62 ,71 ,75 
FATY,CDM,71,52 ,49 ,60 ,64 ,71 ,80 
JOHN,LM,71,89 ,66 ,63 ,75 ,29 ,52 
JORQUERA,CM,70,65 ,64 ,72 ,75 ,37 ,62 
TRAORÉ,CM,70,67 ,70 ,65 ,70 ,61 ,77 
ÖZÇAL,CM,68,73 ,60 ,65 ,69 ,51 ,63 
ÖRNEK,RM,58,59 ,60 ,51 ,64 ,19 ,58 
SIVOK,CB,76,53 ,48 ,62 ,62 ,77 ,75 
SIVOK,CB,73,47 ,48 ,60 ,57 ,76 ,67 
ADVÍNCULA,RB,72,92 ,64 ,67 ,75 ,64 ,75 
SANÉ,CB,72,70 ,47 ,54 ,56 ,70 ,78 
TAŞDEMIR,LB,71,85 ,59 ,65 ,74 ,66 ,59 
KURTULUŞ,RB,71,56 ,44 ,65 ,63 ,73 ,74 
BEHICH,LB,70,83 ,57 ,58 ,73 ,67 ,64 
CINAZ,CB,69,56 ,55 ,56 ,55 ,67 ,74 
ÖZGENÇ,RB,69,60 ,57 ,69 ,68 ,70 ,65 
ERSOY,CB,69,63 ,29 ,42 ,52 ,69 ,75 
JOVIĆ,RB,68,78 ,42 ,61 ,64 ,66 ,62 
KONUK,CB,65,52 ,35 ,46 ,47 ,66 ,65 
TEKIN,GK,76,79 ,70 ,69 ,80 ,40 ,73 
TEKIN,GK,74,79 ,67 ,66 ,78 ,40 ,72 
GÜNOK,GK,72,71 ,70 ,68 ,74 ,55 ,72 
ŞENGEZER,GK,61,62 ,57 ,55 ,66 ,34 ,58 
