VAN PERSIE,ST,84,67 ,86 ,80 ,82 ,35 ,67 
EMENIKE,ST,84,91 ,82 ,70 ,80 ,35 ,84 
VAN PERSIE,ST,81,65 ,83 ,76 ,80 ,33 ,64 
LENS,LW,79,83 ,76 ,75 ,81 ,32 ,70 
FERNANDÃO,ST,76,55 ,76 ,51 ,65 ,29 ,80 
EMENIKE,ST,76,83 ,74 ,61 ,75 ,26 ,80 
SOW,ST,85,89 ,88 ,80 ,87 ,45 ,83 
SOW,RM,83,87 ,86 ,75 ,84 ,43 ,80 
TOPAL,CDM,80,67 ,66 ,66 ,69 ,82 ,83 
SOW,LM,79,85 ,80 ,71 ,79 ,39 ,76 
ŞEN,RM,78,84 ,68 ,73 ,84 ,36 ,61 
POTUK,RM,77,85 ,68 ,70 ,81 ,54 ,66 
CHAHECHOUHE,CAM,77,78 ,77 ,71 ,78 ,33 ,60 
SOUZA,CM,76,70 ,69 ,71 ,75 ,76 ,82 
TUFAN,CM,76,78 ,67 ,71 ,76 ,71 ,75 
STOCH,LM,74,84 ,72 ,66 ,79 ,28 ,52 
UÇAN,CM,74,73 ,73 ,70 ,76 ,69 ,59 
ZEYBEK,CAM,69,74 ,59 ,65 ,73 ,34 ,61 
CIVELEK,CAM,65,77 ,56 ,59 ,67 ,28 ,44 
KOCA,CDM,61,63 ,49 ,54 ,60 ,60 ,63 
ŠKRTEL,CB,86,67 ,46 ,60 ,67 ,88 ,89 
ŠKRTEL,CB,84,65 ,42 ,52 ,60 ,86 ,86 
KJÆR,CB,82,65 ,42 ,63 ,53 ,83 ,80 
ŠKRTEL,CB,82,62 ,38 ,48 ,52 ,82 ,82 
WIEL,RB,78,81 ,64 ,71 ,76 ,74 ,74 
ÖZBAYRAKLI,RB,76,81 ,62 ,71 ,74 ,71 ,79 
NEUSTÄDTER,CB,75,53 ,52 ,70 ,64 ,76 ,72 
KALDIRIM,LB,75,81 ,59 ,66 ,70 ,73 ,72 
KÖYBAŞI,LB,74,82 ,64 ,69 ,75 ,70 ,69 
POLAT,RB,59,52 ,30 ,36 ,54 ,64 ,53 
DEMIREL,GK,80,82 ,78 ,78 ,82 ,43 ,77 
FABIANO,GK,75,76 ,70 ,73 ,76 ,47 ,78 
TAŞKIRAN,GK,67,67 ,65 ,65 ,66 ,52 ,64 
