BRUMA,LM,80,93 ,71 ,71 ,85 ,34 ,64 
BRUMA,LW,77,93 ,70 ,70 ,83 ,28 ,58 
SIGÞÓRSSON,ST,76,68 ,75 ,59 ,66 ,42 ,76 
DERDIYOK,ST,75,51 ,76 ,67 ,67 ,28 ,70 
PALA,ST,60,63 ,62 ,45 ,56 ,20 ,62 
ÜNSAL,ST,60,53 ,61 ,46 ,56 ,19 ,60 
PODOLSKI,CAM,86,87 ,93 ,86 ,87 ,50 ,82 
SNEIJDER,CAM,86,76 ,85 ,91 ,89 ,45 ,70 
PODOLSKI,ST,85,86 ,91 ,83 ,84 ,48 ,79 
SNEIJDER,CAM,85,75 ,83 ,88 ,87 ,42 ,65 
SNEIJDER,CAM,84,74 ,80 ,87 ,85 ,40 ,62 
İNAN,CM,83,63 ,84 ,85 ,81 ,75 ,76 
PODOLSKI,LM,83,84 ,89 ,80 ,80 ,44 ,75 
SNEIJDER,CAM,83,73 ,78 ,85 ,83 ,38 ,59 
İNAN,CM,80,61 ,76 ,82 ,77 ,71 ,71 
PODOLSKI,RM,80,82 ,86 ,75 ,77 ,39 ,71 
DE JONG,CDM,78,68 ,51 ,68 ,70 ,75 ,82 
JOSUÉ,RM,77,70 ,75 ,77 ,81 ,49 ,70 
RODRIGUES,LM,75,86 ,68 ,70 ,75 ,46 ,70 
CIĞERCI,CM,75,54 ,63 ,76 ,72 ,65 ,77 
ÖZTEKIN,LM,74,82 ,69 ,70 ,76 ,48 ,61 
ÖZTEKIN,RM,74,83 ,80 ,76 ,80 ,51 ,65 
BAŞSAN,RM,74,84 ,71 ,72 ,78 ,23 ,59 
GÜMÜŞ,RM,72,86 ,72 ,64 ,75 ,31 ,66 
ALTINTOP,CM,71,51 ,71 ,75 ,71 ,64 ,60 
KARACAN,CDM,69,68 ,59 ,64 ,68 ,68 ,71 
ONTIVERO,RM,67,77 ,64 ,62 ,72 ,35 ,48 
ADILI,RM,62,77 ,58 ,47 ,69 ,36 ,39 
GÜNDOĞAN,CM,61,69 ,47 ,62 ,69 ,38 ,51 
GÜNEY,CM,58,63 ,45 ,56 ,58 ,47 ,61 
CHEDJOU,CB,80,73 ,60 ,69 ,68 ,77 ,83 
AZIZ,CB,76,75 ,32 ,54 ,59 ,74 ,81 
CAROLE,LB,76,83 ,39 ,68 ,74 ,74 ,78 
BALTA,CB,76,51 ,67 ,71 ,66 ,77 ,73 
ÇALIK,CB,75,68 ,40 ,50 ,56 ,76 ,75 
CAVANDA,RB,74,93 ,58 ,62 ,76 ,69 ,78 
CAROLE,LB,74,83 ,39 ,65 ,73 ,71 ,77 
KAYA,CB,73,68 ,38 ,53 ,61 ,73 ,72 
LINNES,RB,73,86 ,55 ,60 ,71 ,68 ,64 
GÜNTER,CB,71,66 ,31 ,54 ,58 ,71 ,72 
SARIOĞLU,RB,71,81 ,58 ,65 ,74 ,64 ,65 
DURSUN,RB,67,67 ,39 ,56 ,60 ,67 ,81 
MUSLERA,GK,83,83 ,78 ,75 ,85 ,60 ,79 
GÖNEN,GK,74,85 ,64 ,68 ,82 ,49 ,64 
İŞCAN,GK,62,66 ,63 ,62 ,62 ,32 ,55 
