SELEZNYOV,ST,76,62 ,76 ,60 ,67 ,36 ,82 
YATABARÉ,ST,69,67 ,69 ,62 ,64 ,22 ,75 
ALEXE,ST,69,70 ,70 ,62 ,67 ,39 ,67 
DELIKTAŞ,ST,65,76 ,66 ,48 ,64 ,20 ,58 
TRAORÉ,CAM,74,84 ,68 ,70 ,78 ,39 ,71 
GÜLSELAM,CDM,72,55 ,58 ,59 ,59 ,74 ,79 
LAZAREVIĆ,LM,72,90 ,58 ,64 ,76 ,35 ,58 
POKO,CM,72,74 ,58 ,65 ,75 ,72 ,77 
SKÚLASON,CDM,71,66 ,58 ,64 ,62 ,68 ,79 
TĂNASE,RM,68,66 ,68 ,68 ,68 ,48 ,63 
RODIĆ,RM,67,84 ,54 ,57 ,69 ,44 ,64 
ZENGIN,RM,67,72 ,58 ,59 ,70 ,45 ,62 
PROMISE,LM,66,73 ,64 ,59 ,70 ,24 ,60 
NEAGU,CDM,66,74 ,59 ,61 ,67 ,64 ,65 
DEPE,LM,65,77 ,44 ,61 ,72 ,26 ,50 
ÇELIK,CDM,64,55 ,47 ,53 ,61 ,64 ,74 
ATIK,CM,61,50 ,56 ,62 ,60 ,62 ,58 
GĂMAN,CB,72,64 ,50 ,57 ,55 ,73 ,70 
KOKALOVIĆ,CB,72,52 ,41 ,57 ,50 ,73 ,71 
NOUNKEU,CB,70,79 ,32 ,52 ,62 ,68 ,77 
BAŞDAŞ,CB,69,62 ,34 ,44 ,47 ,68 ,71 
DOĞAN,LB,68,69 ,58 ,66 ,66 ,67 ,70 
ASLANTAŞ,RB,67,67 ,49 ,61 ,58 ,65 ,71 
LATOVLEVICI,LB,66,68 ,60 ,64 ,64 ,64 ,65 
TEBER,LB,66,68 ,49 ,52 ,64 ,66 ,67 
AKAN,LB,63,67 ,37 ,48 ,64 ,65 ,59 
FACCHINI,GK,71,72 ,68 ,62 ,74 ,36 ,70 
ŞAHIN,GK,70,68 ,69 ,68 ,70 ,21 ,76 
KAFKASYALI,GK,65,65 ,62 ,61 ,64 ,41 ,69 
ÖZER,GK,60,61 ,58 ,58 ,62 ,43 ,58 
