WELLITON,ST,84,93 ,83 ,72 ,81 ,40 ,74 
VARELA,LW,75,75 ,79 ,70 ,78 ,38 ,66 
WELLITON,ST,73,79 ,72 ,56 ,73 ,28 ,67 
BULUT,ST,70,64 ,69 ,61 ,62 ,46 ,70 
YAMAN,ST,65,68 ,63 ,50 ,63 ,23 ,53 
NAKOULMA,LM,75,91 ,70 ,62 ,76 ,41 ,73 
LAWAL,CDM,75,76 ,70 ,72 ,74 ,67 ,85 
TÜRÜÇ,RM,74,78 ,77 ,82 ,80 ,63 ,78 
VURAL,RM,74,82 ,80 ,75 ,80 ,70 ,67 
N'GUEMO,CDM,73,72 ,53 ,68 ,73 ,73 ,77 
MENDES,RM,72,87 ,64 ,65 ,74 ,23 ,59 
TÜRÜÇ,RM,71,73 ,66 ,72 ,72 ,55 ,69 
TÜRÜÇ,RM,71,73 ,66 ,72 ,72 ,55 ,69 
TRAORÉ,CM,71,65 ,74 ,73 ,74 ,55 ,52 
SOW,CDM,70,65 ,47 ,62 ,66 ,66 ,76 
ROTMAN,CDM,69,67 ,65 ,66 ,66 ,68 ,74 
MIJAILOVIĆ,CDM,68,67 ,47 ,63 ,64 ,64 ,69 
SÖNMEZ,CAM,67,74 ,60 ,63 ,68 ,36 ,64 
SÖNMEZ,CAM,67,74 ,60 ,63 ,68 ,36 ,64 
SÖNMEZ,CDM,65,57 ,52 ,60 ,61 ,66 ,62 
SÖNMEZ,CDM,65,57 ,52 ,60 ,61 ,66 ,62 
ILIMAN,RM,57,66 ,52 ,50 ,64 ,26 ,49 
DOUGLÃO,CB,77,44 ,36 ,56 ,42 ,78 ,82 
KANA-BIYIK,CB,75,67 ,31 ,51 ,58 ,74 ,79 
MABIALA,CB,73,51 ,42 ,56 ,53 ,74 ,72 
VURAL,LB,73,81 ,68 ,69 ,75 ,66 ,62 
GÜLEN,CB,70,80 ,30 ,49 ,64 ,69 ,77 
KARAER,LB,67,71 ,56 ,61 ,68 ,63 ,71 
ASLANTAŞ,RB,67,67 ,49 ,61 ,58 ,65 ,71 
STEVANOVIC,RB,65,68 ,34 ,48 ,58 ,65 ,72 
BUDAK,LB,65,71 ,41 ,54 ,62 ,65 ,69 
ÖZYILDIRIM,CB,63,63 ,27 ,36 ,46 ,64 ,63 
REŞMEN,RB,62,66 ,37 ,52 ,59 ,63 ,66 
YILDIRIM,GK,72,72 ,67 ,62 ,74 ,26 ,73 
AHAMADA,GK,72,80 ,64 ,58 ,74 ,43 ,66 
