ADEBAYOR,ST,78,70 ,76 ,66 ,71 ,30 ,75 
PEKTEMEK,ST,71,74 ,69 ,65 ,71 ,52 ,71 
CIKALLESHI,ST,71,70 ,72 ,58 ,60 ,32 ,69 
BATDAL,ST,69,34 ,70 ,54 ,60 ,33 ,75 
VIŠĆA,RM,79,89 ,78 ,70 ,81 ,37 ,58 
DOKA,LM,76,80 ,73 ,73 ,78 ,33 ,64 
BELÖZOĞLU,CM,76,53 ,73 ,81 ,75 ,63 ,66 
MOSSORÓ,CAM,75,74 ,72 ,73 ,77 ,41 ,62 
HOLMÉN,CDM,74,77 ,72 ,75 ,77 ,75 ,80 
TEKDEMIR,CDM,73,65 ,60 ,64 ,70 ,72 ,73 
HOLMÉN,CDM,73,76 ,65 ,70 ,72 ,68 ,74 
KAHVECI,CAM,73,77 ,67 ,72 ,77 ,42 ,61 
ÜNDER,RM,72,79 ,70 ,71 ,72 ,36 ,61 
ROTMAN,CDM,69,67 ,65 ,66 ,66 ,68 ,74 
ÜNDER,RM,67,77 ,61 ,62 ,67 ,32 ,56 
ÖZMERT,CDM,67,54 ,54 ,66 ,66 ,62 ,72 
DIENG,LM,67,79 ,56 ,62 ,68 ,47 ,57 
CAIÇARA,RB,76,82 ,57 ,71 ,77 ,72 ,62 
AYHAN,CB,76,45 ,32 ,44 ,49 ,77 ,79 
EPUREANU,CB,74,57 ,53 ,52 ,56 ,76 ,75 
İRTEGÜN,CB,74,63 ,51 ,60 ,60 ,74 ,74 
ALBAYRAK,LB,74,82 ,67 ,75 ,75 ,67 ,65 
ERDEM,LB,69,71 ,40 ,64 ,71 ,66 ,58 
ÖZTORUN,LB,68,67 ,43 ,59 ,66 ,66 ,68 
UÇAR,RB,68,65 ,42 ,61 ,66 ,65 ,76 
ALKILIÇ,RB,67,83 ,61 ,56 ,70 ,61 ,68 
MUHAMMED,RB,67,84 ,55 ,66 ,68 ,62 ,61 
ATTAMAH,CB,65,59 ,32 ,36 ,44 ,67 ,71 
BABACAN,GK,79,81 ,77 ,68 ,80 ,49 ,82 
CEYLAN,GK,68,70 ,64 ,63 ,71 ,56 ,66 
ÇAKIR,GK,60,59 ,60 ,59 ,59 ,58 ,58 
