JUN,ST,78,77 ,78 ,58 ,74 ,35 ,81 
RODALLEGA,ST,77,81 ,77 ,68 ,75 ,38 ,70 
DEMIR,ST,77,78 ,78 ,74 ,81 ,31 ,67 
N'DOYE,ST,75,75 ,75 ,59 ,72 ,39 ,79 
N'DOYE,ST,71,74 ,70 ,58 ,69 ,37 ,77 
SHEIDAEV,ST,68,77 ,66 ,58 ,66 ,36 ,69 
EKICI,CAM,78,75 ,75 ,81 ,78 ,57 ,73 
CASTILLO,LM,76,93 ,71 ,64 ,82 ,44 ,63 
ŞAHAN,LM,76,79 ,74 ,69 ,78 ,58 ,69 
ONAZI,CM,75,80 ,63 ,73 ,76 ,70 ,72 
YOKUŞLU,CDM,75,73 ,70 ,73 ,71 ,72 ,83 
ERDOĞAN,LM,74,90 ,68 ,66 ,79 ,59 ,64 
VURAL,RM,73,81 ,68 ,69 ,75 ,66 ,62 
YAZICI,CM,70,73 ,67 ,72 ,73 ,46 ,70 
KARA,CDM,70,64 ,66 ,61 ,65 ,68 ,81 
BERO,CM,69,74 ,67 ,68 ,70 ,59 ,69 
ÖMÜR,CM,66,84 ,62 ,71 ,73 ,40 ,46 
ĎURICA,CB,78,49 ,45 ,60 ,58 ,80 ,76 
MAS,LB,77,81 ,60 ,68 ,72 ,73 ,80 
ĎURICA,CB,76,48 ,40 ,60 ,57 ,79 ,75 
PEREIRA,RB,76,74 ,59 ,72 ,76 ,74 ,67 
MEDJANI,CB,75,61 ,54 ,56 ,54 ,73 ,77 
YUMLU,CB,74,46 ,38 ,46 ,48 ,74 ,80 
DEMIROK,CB,73,53 ,38 ,56 ,59 ,73 ,79 
IBÁÑEZ,LB,72,83 ,69 ,69 ,78 ,65 ,69 
YAVRU,RB,70,81 ,51 ,58 ,69 ,67 ,69 
AKAKPO,CB,69,65 ,29 ,54 ,58 ,69 ,70 
AKBAŞ,CB,69,54 ,50 ,55 ,59 ,69 ,73 
KIVRAK,GK,81,82 ,77 ,75 ,86 ,65 ,79 
ALVARADO,GK,70,73 ,67 ,68 ,73 ,51 ,67 
ÇAKIR,GK,67,68 ,63 ,67 ,71 ,54 ,63 
