GRZELCZAK,ST,69,70 ,70 ,60 ,67 ,36 ,74 
ŚPIĄCZKA,ST,66,87 ,64 ,51 ,64 ,30 ,63 
UBIPARIP,ST,66,71 ,65 ,61 ,62 ,36 ,70 
SZYSZ,ST,50,60 ,50 ,41 ,61 ,18 ,42 
DZALAMIDZE,RM,67,86 ,56 ,58 ,71 ,35 ,60 
BONIN,RM,66,57 ,70 ,67 ,65 ,52 ,66 
PIESIO,LM,64,70 ,56 ,62 ,62 ,45 ,64 
DREWNIAK,CDM,64,71 ,51 ,62 ,61 ,63 ,64 
POŹNIAK,CAM,62,75 ,61 ,61 ,59 ,34 ,72 
JURIŠA,LM,61,70 ,52 ,60 ,59 ,32 ,57 
DŹWIGAŁA,CDM,61,68 ,46 ,52 ,52 ,60 ,72 
VUKOBRATOVIĆ,CDM,60,51 ,37 ,54 ,55 ,54 ,62 
PITRY,CAM,60,50 ,61 ,56 ,62 ,43 ,65 
TYMIŃSKI,CDM,59,56 ,52 ,52 ,65 ,55 ,56 
DANIELEWICZ,CDM,58,65 ,55 ,55 ,67 ,52 ,64 
BOGUSŁAWSKI,CDM,58,56 ,53 ,52 ,57 ,54 ,69 
GERSON,CB,69,64 ,41 ,55 ,60 ,66 ,79 
LEANDRO,LB,66,86 ,37 ,56 ,60 ,64 ,69 
PRUCHNIK,CB,64,65 ,46 ,57 ,64 ,61 ,75 
MIERZEJEWSKI,RB,63,55 ,58 ,55 ,58 ,65 ,73 
BASTA,RB,63,75 ,45 ,52 ,54 ,62 ,66 
SZMATIUK,CB,61,38 ,25 ,45 ,40 ,61 ,63 
JARECKI,LB,61,75 ,51 ,64 ,58 ,56 ,63 
SASIN,RB,61,69 ,42 ,54 ,62 ,57 ,57 
KOMOR,CB,56,51 ,24 ,46 ,45 ,54 ,63 
PRUSAK,GK,59,59 ,57 ,57 ,62 ,42 ,59 
MAŁECKI,GK,56,59 ,54 ,52 ,58 ,46 ,52 
SMUG,GK,54,58 ,47 ,54 ,55 ,41 ,50 
