ČERNYCH,ST,64,71 ,62 ,57 ,64 ,20 ,59 
SEKULSKI,ST,62,61 ,62 ,37 ,59 ,24 ,67 
ŚWIDERSKI,ST,60,63 ,60 ,52 ,64 ,23 ,59 
GÓRSKI,CF,59,79 ,54 ,50 ,66 ,28 ,56 
VASSILJEV,CAM,74,64 ,76 ,77 ,72 ,60 ,65 
VASSILJEV,CAM,72,61 ,73 ,73 ,69 ,56 ,62 
GÓRALSKI,CDM,72,71 ,46 ,64 ,67 ,69 ,72 
KHOMCHENOVSKYI,LM,70,73 ,59 ,69 ,71 ,31 ,60 
GRZYB,CDM,68,71 ,52 ,60 ,63 ,66 ,72 
FRANKOWSKI,RM,67,92 ,59 ,62 ,64 ,41 ,70 
NOVIKOVAS,RM,67,90 ,62 ,60 ,69 ,22 ,60 
MACKIEWICZ,LM,66,91 ,55 ,59 ,69 ,38 ,52 
ROMANCHUK,CDM,65,64 ,59 ,62 ,57 ,63 ,66 
MYSTKOWSKI,CAM,61,78 ,58 ,50 ,64 ,25 ,62 
ŁUPIŃSKI,CM,57,63 ,39 ,53 ,56 ,56 ,69 
SZYMAŃSKI,CDM,56,56 ,49 ,52 ,57 ,49 ,53 
FALON,CAM,54,67 ,44 ,50 ,60 ,34 ,39 
TOMASIK,LB,74,68 ,55 ,80 ,72 ,75 ,80 
GUTTI,CB,67,41 ,26 ,48 ,47 ,65 ,71 
BURLIGA,RB,65,71 ,55 ,56 ,57 ,63 ,79 
TOMASIK,LB,65,63 ,44 ,61 ,60 ,65 ,67 
STRAUS,LB,65,74 ,41 ,53 ,62 ,64 ,66 
GORDON,RB,65,79 ,33 ,47 ,61 ,62 ,67 
WASILUK,LB,65,54 ,45 ,49 ,45 ,68 ,77 
RUNJE,CB,64,54 ,24 ,45 ,37 ,64 ,70 
RUNJE,CB,64,59 ,35 ,55 ,45 ,75 ,80 
SOŁOWIEJ,CB,58,55 ,26 ,29 ,33 ,55 ,75 
SZYMONOWICZ,CB,55,57 ,34 ,50 ,52 ,53 ,54 
PAJNOWSKI,CB,54,58 ,27 ,29 ,31 ,52 ,66 
OLSZEWSKI,RB,52,60 ,32 ,36 ,54 ,52 ,51 
KELEMEN,GK,67,68 ,63 ,65 ,64 ,30 ,68 
GOSTOMSKI,GK,53,51 ,52 ,47 ,53 ,16 ,55 
WĘGLARZ,GK,51,48 ,49 ,47 ,51 ,30 ,54 
