PRZYBYŁA,ST,63,74 ,59 ,50 ,62 ,35 ,66 
SEKULSKI,ST,62,61 ,62 ,37 ,59 ,24 ,67 
GÓRSKI,ST,59,79 ,54 ,50 ,66 ,28 ,56 
AANKOUR,CAM,68,81 ,51 ,67 ,71 ,52 ,61 
PALANCA,RM,68,69 ,67 ,65 ,74 ,36 ,63 
KIEŁB,RM,67,77 ,65 ,58 ,68 ,34 ,68 
MOŻDŻEŃ,CM,66,77 ,64 ,66 ,65 ,60 ,71 
PYLYPCHUK,LM,66,72 ,67 ,65 ,61 ,45 ,74 
ZAJĄC,RM,63,80 ,57 ,54 ,66 ,17 ,42 
GRZELAK,CDM,62,62 ,58 ,57 ,59 ,58 ,82 
CEBULA,CAM,62,69 ,55 ,59 ,63 ,51 ,53 
MARKOVIĆ,CDM,61,53 ,46 ,54 ,53 ,58 ,73 
TRAFFORD,CM,57,64 ,40 ,56 ,50 ,48 ,74 
UNIAT,CAM,54,64 ,41 ,49 ,64 ,34 ,43 
MOKRZYCKI,CM,53,64 ,45 ,54 ,57 ,39 ,51 
DEJMEK,CB,66,66 ,35 ,50 ,49 ,64 ,74 
DIAW,CB,66,67 ,26 ,30 ,36 ,65 ,75 
VERKHOVTSOV,CB,65,34 ,24 ,52 ,33 ,62 ,79 
RYMANIAK,RB,62,50 ,41 ,55 ,51 ,62 ,77 
GABOVS,RB,62,72 ,44 ,59 ,63 ,61 ,68 
KALLASTE,LB,61,68 ,36 ,49 ,59 ,62 ,66 
ROGALA,CB,55,61 ,27 ,38 ,35 ,55 ,58 
GOSTOMSKI,GK,63,64 ,49 ,55 ,68 ,38 ,69 
PEŠKOVIČ,GK,62,57 ,64 ,61 ,62 ,32 ,60 
MAŁKOWSKI,GK,61,58 ,58 ,56 ,55 ,21 ,67 
OTCHENASHENKO,GK,55,58 ,58 ,57 ,55 ,30 ,47 
