PAIXÃO,ST,70,74 ,64 ,66 ,72 ,30 ,66 
PAIXÃO,ST,70,69 ,68 ,59 ,70 ,32 ,71 
KUŚWIK,ST,69,78 ,66 ,60 ,66 ,31 ,72 
WOLSKI,CAM,72,76 ,63 ,70 ,75 ,34 ,60 
KRASIĆ,CM,71,75 ,67 ,71 ,74 ,53 ,60 
PESZKO,LM,70,75 ,64 ,68 ,72 ,40 ,70 
SLAVCHEV,CDM,70,63 ,59 ,63 ,69 ,67 ,69 
BORYSIUK,CDM,69,64 ,61 ,66 ,66 ,64 ,70 
MILA,CAM,69,34 ,62 ,76 ,70 ,32 ,56 
MAK,LM,68,90 ,66 ,61 ,71 ,21 ,43 
CHRAPEK,CM,67,61 ,61 ,66 ,68 ,60 ,56 
PAWŁOWSKI,LM,67,83 ,60 ,61 ,72 ,22 ,52 
HARASLIN,LM,66,77 ,61 ,58 ,68 ,40 ,62 
WIŚNIEWSKI,CAM,65,67 ,61 ,64 ,66 ,37 ,63 
GAMAKOV,CDM,65,55 ,51 ,52 ,57 ,62 ,68 
KOVAČEVIĆ,CDM,65,68 ,52 ,61 ,62 ,63 ,68 
KOBYLAŃSKI,LM,63,74 ,61 ,58 ,67 ,26 ,57 
MAKOWSKI,CDM,50,51 ,36 ,47 ,50 ,48 ,46 
WAWRZYNIAK,CB,70,60 ,45 ,61 ,63 ,67 ,77 
MALOČA,CB,69,64 ,36 ,39 ,40 ,68 ,77 
VITÓRIA,CB,68,42 ,57 ,52 ,47 ,65 ,78 
WOJTKOWIAK,RB,68,63 ,41 ,54 ,59 ,69 ,72 
JANICKI,CB,67,58 ,34 ,57 ,50 ,66 ,75 
STOLARSKI,RB,64,80 ,48 ,57 ,61 ,57 ,66 
KAŁAHUR,RB,54,65 ,30 ,41 ,56 ,51 ,48 
KUCIAK,GK,73,76 ,64 ,54 ,77 ,41 ,77 
MILINKOVIĆ-SAVIĆ,GK,63,70 ,57 ,73 ,61 ,40 ,66 
BĄK,GK,59,58 ,55 ,53 ,57 ,44 ,63 
PODLEŚNY,GK,58,59 ,66 ,69 ,56 ,16 ,46 
