ÇIFTÇI,ST,71,72 ,71 ,52 ,74 ,36 ,73 
ZWOLIŃSKI,ST,69,77 ,66 ,48 ,69 ,26 ,64 
KITANO,ST,53,60 ,55 ,42 ,62 ,16 ,42 
GYURCSÓ,LM,74,84 ,73 ,75 ,74 ,27 ,44 
MURAWSKI,CDM,71,52 ,62 ,70 ,70 ,66 ,67 
GYURCSÓ,LM,70,82 ,65 ,68 ,69 ,24 ,54 
MATRAS,CDM,69,54 ,48 ,60 ,58 ,68 ,82 
DRYGAS,CDM,68,72 ,65 ,64 ,65 ,64 ,74 
AKAHOSHI,CAM,68,64 ,59 ,68 ,67 ,39 ,49 
DELEV,LM,64,72 ,70 ,57 ,63 ,19 ,57 
DELEV,ST,64,73 ,76 ,62 ,70 ,22 ,62 
OBST,CDM,61,68 ,45 ,56 ,53 ,56 ,66 
KORT,CM,60,66 ,55 ,59 ,65 ,42 ,51 
LISTKOWSKI,RM,59,76 ,56 ,51 ,66 ,19 ,51 
PIOTROWSKI,CAM,54,61 ,42 ,55 ,54 ,39 ,58 
FOJUT,CB,69,65 ,39 ,49 ,41 ,68 ,75 
FRĄCZCZAK,RB,69,80 ,60 ,68 ,63 ,64 ,81 
NUNES,LB,66,80 ,52 ,60 ,62 ,61 ,65 
LEWANDOWSKI,LB,66,77 ,52 ,60 ,62 ,58 ,71 
RUDOL,RB,65,73 ,35 ,53 ,53 ,61 ,71 
MATYNIA,LB,64,73 ,39 ,48 ,57 ,62 ,64 
NIEPSUJ,RB,54,65 ,29 ,39 ,51 ,52 ,56 
SŁOWIK,GK,65,67 ,59 ,59 ,69 ,46 ,70 
KUDŁA,GK,62,61 ,53 ,67 ,64 ,40 ,63 
HENGER,GK,54,59 ,46 ,46 ,57 ,43 ,49 
