PAPADOPULOS,ST,66,67 ,64 ,56 ,59 ,33 ,73 
BUKSA,ST,64,69 ,60 ,57 ,61 ,26 ,68 
SIEMASZKO,ST,56,72 ,54 ,40 ,54 ,18 ,54 
STARZYŃSKI,CAM,70,38 ,64 ,75 ,70 ,55 ,59 
VLASKO,CAM,68,64 ,60 ,68 ,70 ,36 ,59 
JANOSZKA,LM,68,66 ,60 ,64 ,68 ,42 ,76 
JANUS,RM,67,75 ,61 ,62 ,68 ,51 ,62 
PIĄTEK,CDM,67,69 ,65 ,66 ,68 ,59 ,71 
WOŹNIAK,RM,66,73 ,59 ,62 ,65 ,30 ,72 
RAKOWSKI,CM,65,69 ,55 ,61 ,68 ,54 ,63 
TOSIK,CDM,65,74 ,46 ,56 ,58 ,63 ,74 
MAZEK,RM,65,91 ,53 ,57 ,65 ,24 ,46 
KUBICKI,CDM,63,64 ,49 ,54 ,54 ,60 ,64 
JAGIEŁŁO,CAM,61,74 ,50 ,59 ,65 ,39 ,55 
ŻYRA,CM,49,57 ,36 ,47 ,51 ,49 ,55 
MADERA,CB,68,35 ,37 ,51 ,42 ,67 ,72 
GULDAN,CB,67,69 ,30 ,57 ,51 ,67 ,71 
ČOTRA,LB,67,69 ,44 ,49 ,51 ,68 ,78 
TODOROVSKI,RB,66,72 ,42 ,54 ,62 ,64 ,70 
DZIWNIEL,LB,64,74 ,54 ,54 ,65 ,61 ,60 
JACH,CB,63,63 ,44 ,47 ,57 ,63 ,67 
POLAČEK,GK,65,67 ,56 ,78 ,62 ,44 ,68 
FORENC,GK,57,58 ,63 ,62 ,56 ,39 ,52 
HŁADUN,GK,54,55 ,52 ,52 ,57 ,33 ,49 
