HOFF,CF,64,72 ,65 ,58 ,66 ,40 ,63 
AASE,RW,64,69 ,60 ,58 ,70 ,21 ,62 
SALVESEN,ST,58,67 ,57 ,43 ,58 ,21 ,54 
IKENNA,ST,58,68 ,54 ,48 ,58 ,19 ,60 
IDEMOKON,ST,56,75 ,56 ,40 ,53 ,21 ,60 
SIGURDSEN,ST,53,60 ,48 ,49 ,51 ,43 ,59 
BØRUFSEN,LM,65,70 ,61 ,61 ,64 ,52 ,75 
JOHNSON,CM,65,67 ,60 ,66 ,66 ,53 ,55 
NWAKALI,CM,63,78 ,53 ,59 ,65 ,59 ,66 
KRISTJÁNSSON,CM,62,68 ,56 ,60 ,62 ,58 ,71 
HOLLINGEN,CM,61,68 ,50 ,63 ,61 ,52 ,50 
WICHNE,RM,60,77 ,42 ,58 ,58 ,44 ,60 
SEGBERG,CM,55,49 ,47 ,56 ,57 ,40 ,53 
LARSEN,CB,64,65 ,29 ,48 ,51 ,62 ,70 
HEIKKILÄ,CB,64,62 ,27 ,35 ,44 ,66 ,64 
VIKSTØL,CB,63,70 ,47 ,53 ,60 ,62 ,71 
ROBSTAD,LB,61,69 ,42 ,48 ,62 ,58 ,67 
DE JOHN,CB,61,54 ,27 ,33 ,33 ,62 ,70 
SKOGMO,RB,59,65 ,41 ,47 ,56 ,56 ,60 
SANDNES,LB,59,62 ,56 ,49 ,62 ,59 ,52 
OPDAL,GK,67,64 ,67 ,65 ,68 ,44 ,66 
