KIRKEVOLD,ST,66,67 ,64 ,58 ,62 ,28 ,79 
HALVORSEN,RW,63,77 ,58 ,58 ,64 ,48 ,68 
MORTENSEN,ST,62,52 ,62 ,40 ,57 ,26 ,70 
HANSEN,ST,61,81 ,57 ,57 ,66 ,50 ,58 
UGWUADU,ST,59,85 ,55 ,42 ,58 ,20 ,55 
MBEDULE,LW,56,77 ,51 ,45 ,58 ,25 ,46 
HEINTZ,ST,54,59 ,53 ,43 ,57 ,32 ,53 
TRONDSEN,CM,67,79 ,56 ,67 ,67 ,60 ,70 
ERNEMANN,CM,67,64 ,66 ,67 ,61 ,60 ,72 
NIELSEN,CM,63,68 ,60 ,60 ,59 ,56 ,74 
LINDBERG,CAM,63,59 ,56 ,57 ,65 ,47 ,55 
HOVDA,CM,61,42 ,55 ,59 ,57 ,55 ,70 
TVEITA,LM,61,71 ,55 ,56 ,59 ,59 ,68 
HART,CM,52,68 ,37 ,50 ,51 ,43 ,57 
THOMASSEN,LB,66,79 ,50 ,60 ,63 ,60 ,76 
HANSEN,CB,65,45 ,40 ,48 ,39 ,62 ,76 
SUNDLI,CB,65,70 ,46 ,52 ,56 ,63 ,70 
TOIVOMÄKI,RB,64,77 ,36 ,51 ,60 ,64 ,58 
ØSTLI,CB,64,54 ,46 ,54 ,52 ,62 ,75 
JØRGENSEN,CB,64,68 ,57 ,62 ,64 ,64 ,81 
GROVEN,LB,64,70 ,51 ,55 ,58 ,61 ,70 
JÓNSSON,LB,63,70 ,44 ,60 ,61 ,60 ,65 
ROSTED,CB,63,53 ,27 ,36 ,39 ,64 ,67 
ØSTBØ,GK,65,62 ,64 ,64 ,67 ,21 ,61 
KRISTIANSEN,GK,59,59 ,60 ,61 ,58 ,22 ,61 
