OTOO,ST,64,84 ,63 ,51 ,67 ,18 ,58 
OPSETH,ST,64,69 ,64 ,56 ,59 ,22 ,70 
SVEEN,ST,63,78 ,60 ,55 ,58 ,56 ,67 
RAMSLAND,ST,59,74 ,56 ,41 ,53 ,30 ,76 
KOOMSON,RM,64,86 ,56 ,57 ,65 ,29 ,59 
NWAKALI,CM,63,78 ,53 ,59 ,65 ,59 ,66 
FUREBOTN,CM,63,68 ,63 ,60 ,65 ,49 ,52 
BIRKELUND,CM,62,74 ,50 ,59 ,69 ,48 ,64 
BOLSETH,CM,61,62 ,55 ,60 ,62 ,52 ,64 
KJEMHUS,LM,59,71 ,57 ,53 ,59 ,37 ,60 
HOLSÆTER,LM,57,59 ,63 ,50 ,59 ,42 ,61 
ØY,CM,51,62 ,48 ,51 ,51 ,38 ,49 
RYLAND,RM,50,60 ,45 ,45 ,53 ,26 ,43 
RAITALA,LB,67,74 ,39 ,58 ,59 ,66 ,72 
TENISTE,RB,65,78 ,43 ,57 ,65 ,59 ,65 
PATRONEN,CB,65,52 ,44 ,43 ,44 ,64 ,69 
PSYCHÉ,CB,64,52 ,32 ,39 ,48 ,63 ,71 
JÓNSSON,LB,63,70 ,44 ,60 ,61 ,60 ,65 
UTVIK,CB,61,57 ,36 ,45 ,44 ,61 ,65 
SKAASHEIM,RB,59,68 ,46 ,52 ,57 ,55 ,62 
STEIRING,CB,54,53 ,26 ,37 ,40 ,54 ,57 
PEDERSEN,RB,54,52 ,49 ,51 ,51 ,54 ,52 
DYNGELAND,GK,60,59 ,60 ,56 ,60 ,41 ,57 
HAGERUP,GK,56,54 ,59 ,51 ,57 ,33 ,53 
RUTLIN,GK,54,44 ,59 ,52 ,59 ,31 ,49 
