PEDERSEN,ST,70,72 ,72 ,53 ,63 ,38 ,77 
HØILAND,ST,68,81 ,66 ,50 ,67 ,38 ,74 
STORFLOR,RW,67,65 ,61 ,72 ,65 ,42 ,58 
NGUEN,LW,64,89 ,57 ,50 ,70 ,44 ,51 
AGOUDA,ST,54,75 ,52 ,38 ,51 ,19 ,51 
ABU,CDM,73,76 ,59 ,68 ,72 ,66 ,75 
TOKSTAD,RM,69,84 ,65 ,64 ,67 ,43 ,76 
HAUGER,CDM,69,65 ,47 ,59 ,61 ,63 ,71 
ADJEI-BOATENG,CM,65,72 ,66 ,55 ,64 ,61 ,77 
OVENSTAD,CM,64,72 ,65 ,63 ,67 ,38 ,64 
MOEN,CM,64,69 ,66 ,67 ,65 ,47 ,67 
JÚNIOR,CM,64,76 ,55 ,57 ,68 ,58 ,60 
JÚNIOR,CM,64,76 ,55 ,57 ,68 ,58 ,60 
JRADI,RM,64,75 ,61 ,58 ,68 ,30 ,59 
GJERSTRØM,CM,59,76 ,49 ,54 ,62 ,48 ,56 
SIVODEDOV,CM,59,66 ,45 ,59 ,62 ,51 ,52 
DUMAN,CDM,52,74 ,50 ,52 ,54 ,49 ,59 
AHLANDER,CM,52,66 ,38 ,50 ,49 ,41 ,52 
VILSVIK,RB,73,78 ,66 ,70 ,69 ,68 ,73 
MADSEN,CB,70,71 ,35 ,53 ,46 ,69 ,74 
PARR,LB,69,75 ,58 ,60 ,65 ,67 ,73 
HAMOUD,LB,67,81 ,52 ,59 ,63 ,64 ,67 
HØIBRÅTEN,CB,66,68 ,33 ,45 ,54 ,63 ,73 
GLESNES,CB,64,57 ,28 ,42 ,44 ,63 ,68 
LINDQUIST,RB,57,69 ,45 ,51 ,49 ,56 ,61 
BREDELI,LB,54,71 ,45 ,48 ,51 ,48 ,58 
JOHANSEN,CB,53,54 ,28 ,29 ,34 ,51 ,66 
PETTERSEN,GK,66,62 ,67 ,68 ,63 ,34 ,64 
JAROSIŃSKI,GK,61,62 ,59 ,56 ,60 ,40 ,56 
