ADEGBENRO,LW,70,85 ,62 ,59 ,76 ,29 ,71 
APPIAH,ST,66,89 ,62 ,51 ,62 ,40 ,68 
UDO,ST,62,76 ,58 ,40 ,59 ,19 ,73 
PEDERSEN,ST,61,62 ,61 ,47 ,53 ,19 ,58 
BRINGAKER,ST,59,76 ,57 ,48 ,60 ,26 ,59 
AASHEIM,RW,59,77 ,54 ,52 ,61 ,40 ,61 
IBRAHIM,CM,70,72 ,58 ,67 ,72 ,64 ,72 
KRONBERG,RM,67,77 ,65 ,62 ,67 ,62 ,69 
ERNEMANN,CM,67,64 ,66 ,67 ,61 ,60 ,72 
BYTYQI,RM,65,78 ,60 ,57 ,71 ,16 ,63 
JØRGENSEN,CM,64,68 ,57 ,62 ,64 ,64 ,81 
HASSAN,CM,61,76 ,57 ,56 ,59 ,46 ,69 
KLEPPA,CM,54,59 ,38 ,53 ,49 ,42 ,53 
MICHALSEN,LM,53,68 ,40 ,46 ,58 ,27 ,51 
DANIELSEN,RB,69,71 ,59 ,65 ,63 ,65 ,79 
HAUGEN,LB,67,76 ,56 ,63 ,65 ,62 ,68 
METS,CB,67,59 ,52 ,61 ,62 ,63 ,79 
HAUKÅS,CB,64,66 ,64 ,62 ,64 ,61 ,74 
RYERSON,RB,58,65 ,51 ,48 ,60 ,50 ,58 
MARTINSEN,CB,57,66 ,27 ,40 ,33 ,58 ,57 
STEIRING,CB,54,53 ,26 ,37 ,40 ,54 ,57 
STEEN,LB,52,66 ,30 ,34 ,47 ,50 ,59 
AUSTBØ,GK,67,65 ,66 ,70 ,67 ,21 ,65 
HEIGRE,GK,62,63 ,61 ,60 ,64 ,42 ,60 
WICHNE,GK,51,50 ,49 ,52 ,52 ,45 ,48 
