SORIANO,ST,82,65 ,83 ,79 ,84 ,34 ,73 
SORIANO,ST,76,61 ,78 ,74 ,79 ,30 ,68 
DABBUR,ST,75,80 ,70 ,64 ,79 ,34 ,66 
GULBRANDSEN,ST,69,89 ,67 ,54 ,75 ,36 ,70 
REYNA,ST,65,91 ,59 ,54 ,76 ,24 ,50 
OBERLIN,ST,63,78 ,57 ,60 ,64 ,40 ,57 
CHAN,ST,62,70 ,61 ,57 ,65 ,25 ,56 
PREVLJAK,ST,60,66 ,59 ,46 ,60 ,19 ,62 
MINAMINO,ST,81,84 ,84 ,76 ,82 ,48 ,68 
MINAMINO,CAM,74,82 ,80 ,71 ,78 ,44 ,63 
BERISHA,LM,73,82 ,69 ,71 ,71 ,44 ,77 
RZATKOWSKI,CM,73,77 ,63 ,72 ,76 ,54 ,59 
WANDERSON,RM,73,83 ,64 ,67 ,80 ,22 ,45 
BERISHA,LM,73,82 ,69 ,71 ,71 ,44 ,77 
LEITGEB,CM,72,74 ,55 ,70 ,76 ,61 ,56 
LAZARO,RM,72,87 ,69 ,67 ,77 ,55 ,68 
MINAMINO,RM,71,80 ,68 ,66 ,74 ,39 ,58 
YABO,CM,70,78 ,57 ,64 ,70 ,66 ,76 
RADOŠEVIĆ,CDM,68,63 ,48 ,58 ,55 ,67 ,72 
LAIMER,CM,63,73 ,55 ,61 ,66 ,46 ,56 
SAMASSEKOU,CDM,56,74 ,42 ,52 ,62 ,54 ,51 
ULMER,LB,74,75 ,70 ,76 ,80 ,75 ,71 
ULMER,LB,73,74 ,55 ,69 ,72 ,70 ,67 
SCHWEGLER,RB,72,79 ,44 ,63 ,68 ,69 ,76 
LAINER,RB,72,81 ,64 ,67 ,70 ,71 ,70 
ĆALETA-CAR,CB,71,67 ,38 ,46 ,54 ,71 ,77 
MIRANDA,CB,71,62 ,47 ,58 ,62 ,70 ,75 
WISDOM,RB,71,68 ,30 ,58 ,60 ,76 ,75 
STANGL,LB,70,77 ,54 ,62 ,66 ,68 ,67 
LAINER,RB,67,79 ,56 ,59 ,63 ,65 ,63 
UPAMECANO,CB,56,49 ,24 ,31 ,30 ,56 ,55 
WALKE,GK,71,72 ,68 ,73 ,73 ,38 ,66 
STANKOVIC,GK,66,70 ,65 ,56 ,67 ,40 ,63 
AIRTON,GK,55,56 ,49 ,52 ,56 ,48 ,54 
