KAYODE,ST,69,92 ,67 ,55 ,74 ,35 ,55 
RONIVALDO,ST,64,72 ,67 ,48 ,64 ,18 ,62 
FRANK,ST,50,52 ,52 ,39 ,42 ,19 ,53 
HOLZHAUSER,CDM,71,53 ,70 ,72 ,70 ,65 ,74 
GRÜNWALD,CAM,70,67 ,64 ,69 ,71 ,55 ,74 
VENUTO,RM,67,88 ,57 ,57 ,76 ,38 ,48 
PAULA,RM,67,73 ,62 ,64 ,67 ,37 ,60 
VUKOJEVIĆ,CDM,67,64 ,55 ,60 ,59 ,63 ,77 
PIRES,LM,65,82 ,54 ,58 ,70 ,31 ,50 
SALAMON,LM,64,68 ,53 ,62 ,65 ,29 ,58 
TAJOURI-SHRADI,RM,63,84 ,55 ,56 ,70 ,29 ,42 
SERBEST,CDM,61,66 ,42 ,52 ,56 ,60 ,65 
PROKOP,CAM,53,65 ,42 ,49 ,55 ,36 ,47 
MARTSCHINKO,LB,68,77 ,56 ,57 ,69 ,64 ,73 
LARSEN,RB,68,83 ,58 ,60 ,65 ,62 ,75 
ROTPULLER,CB,67,78 ,47 ,39 ,48 ,65 ,75 
WINDBICHLER,CB,67,67 ,30 ,53 ,47 ,67 ,65 
STRONATI,CB,62,62 ,32 ,36 ,36 ,60 ,76 
FILIPOVIC,CB,60,70 ,53 ,58 ,62 ,56 ,69 
GLUHAKOVIC,RB,57,62 ,43 ,48 ,49 ,60 ,66 
ALMER,GK,73,74 ,72 ,67 ,70 ,33 ,74 
HADZIKIC,GK,60,62 ,59 ,61 ,62 ,41 ,58 
HADZIKIC,GK,60,62 ,59 ,61 ,62 ,41 ,58 
CASALI,GK,55,61 ,53 ,52 ,66 ,33 ,44 
PENTZ,GK,53,56 ,50 ,50 ,53 ,47 ,49 
