JOELINTON,ST,72,69 ,70 ,60 ,75 ,44 ,78 
JOELINTON,ST,67,67 ,63 ,52 ,69 ,39 ,71 
TOMI,CF,63,47 ,62 ,62 ,62 ,28 ,69 
SCHAUB,RM,73,77 ,65 ,68 ,80 ,37 ,64 
TRAUSTASON,LM,72,76 ,71 ,69 ,74 ,29 ,65 
MOČINIĆ,CM,72,73 ,53 ,68 ,71 ,68 ,62 
HOFMANN,CAM,70,56 ,65 ,73 ,74 ,46 ,60 
SCHOBESBERGER,RM,69,91 ,63 ,60 ,74 ,37 ,60 
SCHWAB,CM,68,71 ,63 ,65 ,66 ,53 ,73 
MURG,CAM,68,81 ,64 ,65 ,74 ,39 ,54 
GRAHOVAC,CDM,65,66 ,58 ,64 ,62 ,64 ,61 
MALICSEK,CM,63,70 ,49 ,62 ,64 ,41 ,58 
SCHRAMMEL,LB,69,79 ,53 ,63 ,64 ,65 ,67 
DIBON,CB,69,67 ,33 ,47 ,51 ,69 ,72 
SCHÖSSWENDTER,CB,68,41 ,22 ,39 ,36 ,67 ,78 
SONNLEITNER,CB,68,73 ,36 ,46 ,51 ,67 ,72 
PAVELIC,RB,67,75 ,53 ,61 ,65 ,64 ,65 
HOFMANN,CB,67,68 ,39 ,49 ,47 ,68 ,64 
AUER,RB,65,72 ,46 ,54 ,64 ,62 ,67 
WÖBER,CB,60,58 ,31 ,45 ,44 ,59 ,66 
STREBINGER,GK,67,66 ,63 ,60 ,74 ,33 ,64 
NOVOTA,GK,67,68 ,65 ,67 ,63 ,46 ,69 
KNOFLACH,GK,58,60 ,54 ,58 ,62 ,46 ,56 
GARTLER,GK,54,59 ,51 ,58 ,56 ,38 ,54 
