ADEMI,ST,67,67 ,64 ,57 ,62 ,26 ,74 
WALCH,ST,64,79 ,62 ,56 ,70 ,30 ,66 
FRÖSCHL,ST,63,65 ,59 ,48 ,60 ,42 ,68 
EGHO,ST,60,76 ,55 ,51 ,62 ,30 ,62 
SCHUBERT,ST,57,52 ,61 ,41 ,49 ,24 ,66 
ELSNEG,CAM,66,84 ,62 ,60 ,71 ,50 ,65 
NUTZ,CAM,66,72 ,60 ,63 ,68 ,58 ,64 
TRAUNER,CM,65,68 ,57 ,61 ,61 ,63 ,77 
ŽULJ,CAM,64,66 ,62 ,62 ,63 ,32 ,59 
MÖSCHL,LM,64,85 ,49 ,57 ,69 ,30 ,52 
ZIEGL,CM,64,71 ,52 ,60 ,65 ,60 ,73 
RAMADANI,LM,56,75 ,50 ,49 ,58 ,27 ,55 
REIFELTSHAMMER,CB,66,51 ,17 ,35 ,40 ,66 ,68 
MARCOS,LB,64,78 ,34 ,50 ,60 ,62 ,66 
CHESSA,LB,63,68 ,39 ,53 ,62 ,62 ,61 
BERGMANN,RB,63,77 ,57 ,55 ,62 ,60 ,63 
HART,RB,62,72 ,47 ,53 ,62 ,58 ,63 
ÖZDEMIR,CB,62,55 ,32 ,48 ,45 ,60 ,69 
ANTONITSCH,CB,60,57 ,27 ,37 ,41 ,60 ,69 
GEBAUER,GK,67,63 ,67 ,65 ,64 ,49 ,70 
DURAKOVIC,GK,57,59 ,52 ,54 ,59 ,46 ,54 
SCHÖLLER,GK,54,57 ,46 ,52 ,58 ,43 ,52 
